motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
right,0.5,0.09536094102077186,0.5,4705.0,0.32,0.42,-0.02,0.32,42.7,0,0,0,0
right,0.5,0.23027874197578058,0.5,4210.0,0.17,0.28,0.01,0.17,42.7,0,0,0,0
right,0.45,0.09504786599427462,0.5,4210.0,0.28,0.36,0.0,0.28,42.7,0,0,0,0
right,0.45,0.25092833198141307,0.45,3720.0,0.17,0.26,-0.02,0.17,42.7,0,0,0,0
right,0.4,0.09517887496622279,0.4,3809.0,0.27,0.32,0.0,0.27,42.7,0,0,0,0
right,0.4,0.2610523869516328,0.4,3265.0,0.14,0.22,0.0,0.14,42.7,0,0,0,0
right,0.35,0.10641700203996152,0.35,3200.0,0.26,0.3,0.0,0.26,42.7,0,0,0,0
right,0.35,0.2620872160186991,0.35,2758.0,0.13,0.2,-0.01,0.13,42.7,0,0,0,0
right,0.3,0.08502268302254379,0.3,2807.0,0.22,0.24,0.02,0.22,42.7,0,0,0,0
right,0.3,0.20968641299987212,0.3,2318.0,0.1,0.16,-0.01,0.1,42.7,0,0,0,0
right,0.25,0.09575784497428685,0.25,2285.0,0.24,0.22,-0.02,0.24,42.7,0,0,0,0
right,0.25,0.2409849469549954,0.25,1839.0,0.08,0.14,0.01,0.08,42.7,0,0,0,0
right,0.2,0.08510963997105137,0.2,1818.0,0.2,0.18,0.0,0.2,42.7,0,0,0,0
right,0.2,0.20957796898437664,0.2,1367.0,0.07,0.12,-0.01,0.06,42.7,0,0,0,0
right,0.15,0.08549902000231668,0.15,1367.0,0.21,0.16,0.0,0.21,42.7,0,0,0,0
right,0.15,0.22167921101208776,0.15,919.0,0.06,0.1,0.0,0.06,42.7,0,0,0,0
right,0.1,0.09546085499459878,0.1,914.0,0.19,0.12,0.0,0.19,42.7,0,0,0,0
right,0.1,0.2307469510124065,0.1,489.0,0.07,0.1,-0.03,0.06,42.7,0,0,0,0
right,0.05,0.08549873600713909,0.1,455.0,0.19,0.1,0.01,0.19,42.7,0,0,0,0
right,0.05,0.22021966899046674,0.05,367.0,0.2,0.08,0.02,0.2,42.7,0,0,0,0
right,0.0,0.19964553898898885,0.0,0.0,0.28,0.08,0.28,0.01,42.7,0,0,0,0
right,-0.05,0.1461091130040586,-0.05,0.0,0.3,0.08,0.3,0.01,42.7,0,0,0,0
right,-0.05,0.3016387019888498,-0.05,0.0,0.05,0.08,0.05,0.03,42.7,0,0,0,0
right,-0.1,0.09563228103797883,-0.1,0.0,0.05,0.08,0.04,0.02,42.7,0,0,0,0
right,-0.1,0.23066599800949916,-0.1,-378.0,0.74,0.16,-0.74,-0.04,42.7,0,0,0,0
right,-0.15,0.08521442901110277,-0.15,-458.0,0.18,0.1,0.0,-0.18,42.7,0,0,0,0
right,-0.15,0.22046429198235273,-0.15,-909.0,0.26,0.14,0.0,-0.26,42.7,0,0,0,0
right,-0.2,0.08535160397877917,-0.2,-898.0,0.17,0.12,0.0,-0.17,42.7,0,0,0,0
right,-0.2,0.23039146600058302,-0.2,-1333.0,0.31,0.18,0.01,-0.31,42.7,0,0,0,0
right,-0.25,0.09552688698749989,-0.25,-1367.0,0.18,0.14,0.0,-0.18,42.7,0,0,0,0
right,-0.25,0.24197080999147147,-0.25,-1818.0,0.34,0.22,0.0,-0.34,42.7,0,0,0,0
right,-0.3,0.09494589699897915,-0.3,-1797.0,0.19,0.18,0.01,-0.19,42.7,0,0,0,0
right,-0.3,0.2406688830233179,-0.3,-2285.0,0.33,0.26,0.0,-0.33,42.7,0,0,0,0
right,-0.35,0.10547798505285755,-0.35,-2285.0,0.23,0.22,-0.02,-0.23,42.7,0,0,0,0
right,-0.35,0.2506131680565886,-0.35,-2758.0,0.32,0.3,0.01,-0.32,42.7,0,0,0,0
right,-0.4,0.08484890102408826,-0.4,-2711.0,0.22,0.24,0.0,-0.22,42.7,0,0,0,0
right,-0.4,0.2296181620331481,-0.4,-3200.0,0.38,0.36,0.0,-0.38,42.7,0,0,0,0
right,-0.45,0.10587339202174917,-0.4,-3200.0,0.23,0.28,0.0,-0.23,42.7,0,0,0,0
right,-0.45,0.2407048280001618,-0.45,-3720.0,0.38,0.38,0.0,-0.38,42.7,0,0,0,0
right,-0.5,0.09565428702626377,-0.5,-3636.0,0.26,0.32,-0.01,-0.26,42.7,0,0,0,0
right,-0.5,0.24118382699089125,-0.5,-4210.0,0.38,0.44,0.03,-0.38,42.7,0,0,0,0
right,-0.55,0.09569141000974923,-0.5,-4102.0,0.28,0.36,0.0,-0.28,42.7,0,0,0,0
right,-0.55,0.24109990999568254,-0.55,-4571.0,0.39,0.48,0.0,-0.39,42.7,0,0,0,0
right,-0.6,0.10689697600901127,-0.55,-4705.0,0.31,0.42,0.0,-0.31,42.7,0,0,0,0
right,-0.6,0.25211400096304715,-0.6,-5000.0,0.41,0.54,0.0,-0.41,42.7,0,0,0,0
right,-0.65,0.09549655398586765,-0.65,-5000.0,0.3,0.46,-0.01,-0.3,42.7,0,0,0,0
right,-0.65,0.2412002609926276,-0.65,-5714.0,0.42,0.62,0.01,-0.42,42.7,0,0,0,0
right,-0.7,0.08494732697727159,-0.7,-5517.0,0.3,0.5,0.01,-0.3,42.7,0,0,0,0
right,-0.7,0.2196962150046602,-0.7,-5925.0,0.41,0.66,0.02,-0.41,42.7,0,0,0,0
right,-0.75,0.08550659305183217,-0.7,-6153.0,0.32,0.56,-0.03,-0.32,42.7,0,0,0,0
right,-0.75,0.2306867410079576,-0.75,-6400.0,0.39,0.72,0.0,-0.39,42.7,0,0,0,0
right,-0.8,0.08521108399145305,-0.75,-6400.0,0.26,0.58,0.02,-0.26,42.7,0,0,0,0
right,-0.8,0.2306140640284866,-0.8,-6956.0,0.39,0.8,0.0,-0.39,42.7,0,0,0,0
right,-0.85,0.08578562003094703,-0.85,-6956.0,0.28,0.66,0.0,-0.28,42.7,0,0,0,0
right,-0.85,0.23121124802855775,-0.85,-7272.0,0.36,0.86,0.0,-0.36,42.7,0,0,0,0
right,-0.9,0.10581524902954698,-0.9,-7272.0,0.22,0.7,0.03,-0.22,42.7,0,0,0,0
right,-0.9,0.2511979870032519,-0.9,-8000.0,0.34,0.96,-0.02,-0.34,42.7,0,0,0,0
right,-0.95,0.08516897598747164,-0.95,-8000.0,0.23,0.8,-0.01,-0.23,42.7,0,0,0,0
right,-0.95,0.22019050095696002,-0.95,-8421.0,0.31,1.0,0.01,-0.31,42.7,0,0,0,0
right,-1.0,0.08647331700194627,-0.95,-8421.0,0.19,0.84,0.0,-0.19,42.7,0,0,0,0
right,-1.0,0.23172504000831395,-1.0,-8888.0,0.14,1.1,0.0,0.14,42.7,0,0,0,0
right,-0.95,0.08517084096092731,-0.95,-8888.0,0.36,0.88,0.02,0.36,42.7,0,0,0,0
right,-0.95,0.2307675940101035,-0.95,-8421.0,0.09,0.68,-0.01,-0.09,42.7,0,0,0,0
right,-0.9,0.09535794501425698,-0.9,-8421.0,0.21,0.88,-0.01,-0.21,42.8,0,0,0,0
right,-0.9,0.23044673103140667,-0.9,-8000.0,0.09,0.6,0.0,-0.09,42.8,0,0,0,0
right,-0.85,0.08501669397810474,-0.85,-8000.0,0.21,0.8,0.0,-0.21,42.7,0,0,0,0
right,-0.85,0.22041106299730018,-0.85,-7272.0,0.12,0.54,0.0,-0.12,42.7,0,0,0,0
right,-0.8,0.0951342839980498,-0.8,-7272.0,0.24,0.72,0.02,-0.24,42.7,0,0,0,0
right,-0.8,0.24030397302703932,-0.8,-6956.0,0.17,0.52,-0.03,-0.17,42.7,0,0,0,0
right,-0.75,0.08464281697524711,-0.75,-6956.0,0.27,0.64,0.01,-0.27,42.8,0,0,0,0
right,-0.75,0.20885917800478637,-0.75,-6400.0,0.17,0.46,-0.01,-0.17,42.8,0,0,0,0
right,-0.7,0.08515913703013211,-0.7,-6400.0,0.29,0.6,-0.01,-0.29,42.8,0,0,0,0
right,-0.7,0.21002341399434954,-0.7,-6153.0,0.17,0.42,0.0,-0.17,42.8,0,0,0,0
right,-0.65,0.08490804600296542,-0.65,-5925.0,0.3,0.54,0.0,-0.3,42.8,0,0,0,0
right,-0.65,0.21956958901137114,-0.65,-5517.0,0.19,0.4,0.01,-0.19,42.8,0,0,0,0
right,-0.6,0.09528798802057281,-0.65,-5333.0,0.32,0.5,-0.02,-0.32,42.8,0,0,0,0
right,-0.6,0.2301191239967011,-0.6,-5000.0,0.2,0.36,-0.02,-0.2,42.8,0,0,0,0
right,-0.55,0.08510019700042903,-0.55,-5000.0,0.29,0.44,0.01,-0.29,42.8,0,0,0,0
right,-0.55,0.2302073949831538,-0.55,-4571.0,0.17,0.3,0.0,-0.17,42.8,0,0,0,0
right,-0.5,0.08485739101888612,-0.5,-4571.0,0.29,0.4,0.0,-0.29,42.8,0,0,0,0
right,-0.5,0.22007922100601718,-0.5,-4210.0,0.18,0.28,-0.01,-0.18,42.8,0,0,0,0
right,-0.45,0.08485210698563606,-0.45,-4210.0,0.27,0.36,0.0,-0.27,42.8,0,0,0,0
right,-0.45,0.22991839598398656,-0.45,-3636.0,0.16,0.24,0.0,-0.16,42.8,0,0,0,0
right,-0.4,0.09581030101981014,-0.45,-3636.0,0.27,0.32,0.0,-0.27,42.8,0,0,0,0
right,-0.4,0.24118716298835352,-0.4,-3265.0,0.12,0.22,0.01,-0.12,42.8,0,0,0,0
right,-0.35,0.09535535698523745,-0.4,-3200.0,0.27,0.28,-0.01,-0.27,42.8,0,0,0,0
right,-0.35,0.24040961801074445,-0.35,-2807.0,0.12,0.2,0.0,-0.12,42.8,0,0,0,0
right,-0.3,0.09542471298482269,-0.3,-2758.0,0.23,0.24,0.0,-0.23,42.8,0,0,0,0
right,-0.3,0.24024317500879988,-0.3,-2285.0,0.09,0.16,0.0,-0.09,42.8,0,0,0,0
right,-0.25,0.0950641340459697,-0.3,-2318.0,0.2,0.22,0.01,-0.2,42.8,0,0,0,0
right,-0.25,0.24052921700058505,-0.25,-1797.0,0.08,0.14,-0.01,-0.08,42.8,0,0,0,0
right,-0.2,0.09951728495070711,-0.2,-1818.0,0.22,0.18,0.0,-0.22,42.8,0,0,0,0
right,-0.2,0.24504057498415932,-0.2,-1322.0,0.06,0.12,0.01,-0.06,42.8,0,0,0,0
right,-0.15,0.09552727901609614,-0.2,-1333.0,0.19,0.16,0.0,-0.19,42.8,0,0,0,0
right,-0.15,0.2206069480162114,-0.15,-903.0,0.07,0.12,-0.02,-0.06,42.8,0,0,0,0
right,-0.1,0.08534267003415152,-0.1,-909.0,0.17,0.12,0.01,-0.17,42.8,0,0,0,0
right,-0.1,0.211666718008928,-0.1,-512.0,0.08,0.1,-0.02,-0.07,42.8,0,0,0,0
right,-0.05,0.08517154195578769,-0.1,-449.0,0.17,0.1,0.01,-0.17,42.8,0,0,0,0
right,-0.05,0.22041531396098435,-0.05,-406.0,0.12,0.08,0.06,-0.11,42.8,0,0,0,0
right,0.0,0.16750901396153495,0.0,0.0,0.28,0.08,0.28,0.01,42.8,0,0,0,0
right,0.0,0.32342776097357273,0.0,0.0,0.25,0.08,0.25,0.01,42.8,0,0,0,0
