motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
left,0.45,0.08484991395380348,0.5,3720.0,1.77,1.7,0.01,1.77,42.5,0,0,0,0
left,0.45,0.20928264397662133,0.45,3333.0,1.48,1.3,-0.02,1.48,42.5,0,0,0,0
left,0.4,0.08461622102186084,0.45,3333.0,1.44,1.26,-0.01,1.44,42.5,0,0,0,0
left,0.4,0.20898842002497986,0.4,2909.0,0.73,0.68,0.0,0.73,42.5,0,0,0,0
left,0.35,0.08496704598655924,0.35,3018.0,1.06,0.88,0.0,1.06,42.5,0,0,0,0
left,0.35,0.20967144996393472,0.35,2622.0,0.71,0.6,0.0,0.71,42.5,0,0,0,0
left,0.3,0.08504911995260045,0.35,2539.0,0.81,0.64,-0.02,0.81,42.5,0,0,0,0
left,0.3,0.22026702796574682,0.3,2133.0,0.68,0.5,0.0,0.68,42.5,0,0,0,0
left,0.25,0.08491039299406111,0.3,2162.0,0.64,0.48,-0.01,0.64,42.5,0,0,0,0
left,0.25,0.20951845694798976,0.25,1720.0,0.29,0.3,0.0,0.29,42.5,0,0,0,0
left,0.2,0.08567467395914719,0.2,1720.0,0.5,0.36,-0.01,0.5,42.5,0,0,0,0
left,0.2,0.2311524729593657,0.2,1259.0,0.33,0.26,0.0,0.33,42.5,0,0,0,0
left,0.15,0.09555222798371688,0.2,1250.0,0.48,0.3,0.0,0.48,42.5,0,0,0,0
left,0.15,0.22120713395997882,0.15,837.0,0.28,0.22,0.0,0.28,42.5,0,0,0,0
left,0.1,0.07404866599244997,0.15,846.0,0.33,0.24,0.01,0.33,42.5,0,0,0,0
left,0.1,0.20918773103039712,0.1,428.0,0.27,0.18,0.01,0.27,42.5,0,0,0,0
left,0.05,0.09735786000965163,0.1,403.0,0.36,0.18,0.0,0.36,42.5,0,0,0,0
left,0.05,0.22224275302141905,0.05,336.0,0.13,0.14,-0.12,-0.06,42.5,0,0,0,0
left,0.0,0.10599044902483001,0.0,42.0,0.31,0.14,-0.29,-0.1,42.5,0,0,0,0
left,0.0,0.22032228100579232,0.0,42.0,0.33,0.14,-0.33,-0.06,42.5,0,0,0,0
left,-0.05,0.7339749539969489,0.05,42.0,0.3,0.12,-0.29,-0.06,42.5,0,0,0,0
