test,motor,sign,amps,phase,t,erpm,iq,imotor,duty,fault
brake,left,1,0.2,drive,0.020521652011666447,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,drive,0.09653950604842976,0.0,0.0,0.12,0.057,0
brake,left,1,0.2,drive,0.17253154603531584,0.0,0.14,0.15,0.066,0
brake,left,1,0.2,drive,0.24850468605291098,0.0,0.41,0.41,0.075,0
brake,left,1,0.2,drive,0.32448920101160184,0.0,0.51,0.53,0.142,0
brake,left,1,0.2,drive,0.4014091400313191,788.0,0.17,0.17,0.05,0
brake,left,1,0.2,drive,0.47795804403722286,493.0,-0.21,0.21,0.075,0
brake,left,1,0.2,drive,0.5543585800332949,269.0,0.22,0.25,0.072,0
brake,left,1,0.2,drive,0.6303528170101345,224.0,0.41,0.43,0.062,0
brake,left,1,0.2,drive,0.706670830026269,191.0,0.35,0.35,0.114,0
brake,left,1,0.2,drive,0.782769249053672,730.0,0.28,0.28,0.086,0
brake,left,1,0.2,drive,0.858733706001658,503.0,-0.13,0.15,0.079,0
brake,left,1,0.2,drive,0.9350315760239027,354.0,0.27,0.27,0.044,0
brake,left,1,0.2,drive,1.0112755100126378,354.0,0.32,0.33,0.046,0
brake,left,1,0.2,drive,1.087542707042303,354.0,0.29,0.29,0.048,0
brake,left,1,0.2,drive,1.1635463410057127,354.0,0.28,0.28,0.048,0
brake,left,1,0.2,drive,1.2398883240530267,354.0,0.29,0.29,0.048,0
brake,left,1,0.2,drive,1.3163138890522532,354.0,0.3,0.3,0.049,0
brake,left,1,0.2,brake,0.020963240996934474,354.0,0.32,0.32,-0.001,0
brake,left,1,0.2,brake,0.08705564896808937,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.15359775797696784,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.22005612100474536,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.28627965599298477,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.35225780500331894,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.41844167100498453,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.484517646022141,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.5505706109688617,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.6166728449752554,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.6827284540049732,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.7488796809921041,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.8150344180176035,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.8811852990183979,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.9473329529864714,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.0134639469906688,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.0794903049827553,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.1455867339973338,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,drive,0.01081580703612417,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,drive,0.08733092900365591,0.0,0.11,0.14,-0.052,0
brake,left,1,0.4,drive,0.16369860101258382,0.0,0.13,0.13,0.046,0
brake,left,1,0.4,drive,0.24026177800260484,0.0,0.33,0.33,0.056,0
brake,left,1,0.4,drive,0.3166553369956091,15.0,0.47,0.47,0.122,0
brake,left,1,0.4,drive,0.3929104800336063,846.0,0.32,0.32,0.071,0
brake,left,1,0.4,drive,0.46922152303159237,441.0,-0.21,0.25,0.042,0
brake,left,1,0.4,drive,0.5455976290395483,441.0,0.2,0.21,-0.049,0
brake,left,1,0.4,drive,0.6218824629904702,441.0,0.11,0.11,-0.054,0
brake,left,1,0.4,drive,0.6984422760433517,441.0,0.07,0.07,-0.05,0
brake,left,1,0.4,drive,0.7750513250357471,441.0,0.08,0.08,-0.051,0
brake,left,1,0.4,drive,0.8513990209903568,441.0,0.08,0.08,-0.051,0
brake,left,1,0.4,drive,0.9274718629894778,441.0,0.08,0.08,-0.05,0
brake,left,1,0.4,drive,1.0035166090237908,0.0,0.2,0.2,0.063,0
brake,left,1,0.4,drive,1.0798322790069506,58.0,0.61,0.62,0.119,0
brake,left,1,0.4,drive,1.1558802680228837,535.0,0.44,0.44,0.16,0
brake,left,1,0.4,drive,1.2320405000355095,776.0,-0.1,0.13,-0.03,0
brake,left,1,0.4,drive,1.3081280009937473,663.0,0.12,0.15,-0.052,0
brake,left,1,0.4,brake,0.02111013897228986,490.0,0.23,0.23,-0.002,0
brake,left,1,0.4,brake,0.08701819099951535,490.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.15275553398532793,490.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.21857365098549053,490.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.28431516001001,490.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.3503319709561765,490.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.416095499007497,490.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.48197512299520895,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.5479524270049296,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.6137875689892098,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.6797415589680895,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.7457348699681461,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.8115345719852485,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.8773309229873121,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.9431564629776403,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,1.0089662380050868,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,1.0747867290046997,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,1.1406387260067277,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,1.2063885309617035,0.0,0.0,0.0,0.0,0
brake,left,-1,0.2,drive,0.010542290983721614,0.0,0.0,0.0,0.0,0
brake,left,-1,0.2,drive,0.08651806402485818,0.0,0.01,0.13,-0.055,0
brake,left,-1,0.2,drive,0.1626061869901605,0.0,-0.06,0.06,-0.104,0
brake,left,-1,0.2,drive,0.23878007399616763,-501.0,-0.29,0.29,-0.078,0
brake,left,-1,0.2,drive,0.3152373470366001,-385.0,0.08,0.09,-0.083,0
brake,left,-1,0.2,drive,0.3916163719841279,-311.0,-0.2,0.24,-0.064,0
