test,motor,sign,amps,phase,t,erpm,iq,imotor,duty,fault
brake,left,1,0.2,drive,0.012771759007591754,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,drive,0.09910056903026998,0.0,-0.05,0.06,0.057,0
brake,left,1,0.2,drive,0.19524548202753067,0.0,0.17,0.17,0.101,0
brake,left,1,0.2,drive,0.30164135299855843,498.0,0.17,0.17,0.072,0
brake,left,1,0.2,drive,0.40825472603319213,360.0,0.01,0.08,0.061,0
brake,left,1,0.2,drive,0.5249976509949192,360.0,0.18,0.18,0.05,0
brake,left,1,0.2,drive,0.6316123650176451,360.0,0.17,0.17,0.05,0
brake,left,1,0.2,drive,0.748433469037991,360.0,0.19,0.19,0.051,0
brake,left,1,0.2,drive,0.8753016919945367,360.0,0.2,0.2,0.052,0
brake,left,1,0.2,drive,0.9921387690119445,64.0,0.44,0.44,0.12,0
brake,left,1,0.2,drive,1.0683700950467028,1052.0,0.29,0.29,0.041,0
brake,left,1,0.2,brake,0.021515486005228013,919.0,-0.47,0.47,0.01,0
brake,left,1,0.2,brake,0.09756501601077616,663.0,-0.11,0.13,-0.056,0
brake,left,1,0.2,brake,0.17385749600362033,663.0,0.0,0.0,-0.051,0
brake,left,1,0.2,brake,0.2500379389966838,663.0,0.0,0.0,0.053,0
brake,left,1,0.2,brake,0.32620782899903134,663.0,0.0,0.0,-0.052,0
brake,left,1,0.2,brake,0.4023696180083789,663.0,0.0,0.0,-0.055,0
brake,left,1,0.2,brake,0.4785766440327279,663.0,0.0,0.0,-0.055,0
brake,left,1,0.2,brake,0.5547940990072675,663.0,0.0,0.0,-0.052,0
brake,left,1,0.2,brake,0.6310975800151937,0.0,0.0,0.0,0.061,0
brake,left,1,0.2,brake,0.7070081559941173,0.0,0.0,0.0,0.059,0
brake,left,1,0.2,brake,0.7831461750320159,0.0,0.0,0.0,-0.053,0
brake,left,1,0.2,brake,0.8591022070031613,0.0,0.0,0.0,-0.05,0
brake,left,1,0.2,brake,0.9350570320384577,0.0,0.0,0.0,-0.05,0
brake,left,1,0.2,brake,1.0111008870298974,0.0,0.0,0.0,-0.052,0
brake,left,1,0.2,brake,1.0872116060345434,0.0,0.0,0.0,-0.049,0
brake,left,1,0.2,brake,1.1629579089931212,0.0,0.0,0.0,-0.05,0
brake,left,1,0.4,drive,0.01163528102915734,0.0,0.0,0.0,0.0,0
brake,left,1,0.4,drive,0.08784641500096768,0.0,0.01,0.07,0.053,0
brake,left,1,0.4,drive,0.17400374001590535,0.0,0.15,0.15,0.056,0
brake,left,1,0.4,drive,0.28063464700244367,25.0,0.35,0.35,0.067,0
brake,left,1,0.4,drive,0.3670212880242616,21.0,0.51,0.51,0.157,0
brake,left,1,0.4,drive,0.44322372402530164,1073.0,0.24,0.24,0.04,0
brake,left,1,0.4,brake,0.021563439047895372,888.0,-0.43,0.47,-0.022,0
brake,left,1,0.4,brake,0.09761724702548236,267.0,0.07,0.07,-0.017,0
brake,left,1,0.4,brake,0.1737612240249291,-727.0,0.16,0.17,-0.055,0
brake,left,1,0.4,brake,0.23979157803114504,-259.0,0.04,0.04,-0.033,0
brake,left,1,0.4,brake,0.3158840290270746,188.0,0.16,0.17,-0.056,0
brake,left,1,0.4,brake,0.39200329303275794,-275.0,0.04,0.04,0.063,0
brake,left,1,0.4,brake,0.467979044013191,-329.0,0.25,0.25,0.054,0
brake,left,1,0.4,brake,0.5439999640220776,-883.0,0.1,0.1,-0.043,0
brake,left,1,0.4,brake,0.6199347110232338,-883.0,0.09,0.09,-0.054,0
brake,left,1,0.4,brake,0.6958912950358354,-883.0,0.0,0.0,-0.053,0
brake,left,1,0.4,brake,0.7720277710468508,-883.0,0.0,0.0,-0.053,0
