case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.00019917701138183475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.06666083500022069,0.0,0.0,0.0,0.0,0.02,0.017,0.633,0.346,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.13306774297961965,0.0,0.04,0.01,0.04,0.02,0.031,1.277,0.356,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.19948181801009923,0.0,0.09,0.0,0.09,0.06,0.034,1.449,0.292,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.2660695029771887,0.0,0.1,0.0,0.1,0.02,0.036,1.521,0.3,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.3323405359988101,0.0,0.11,0.0,0.11,0.06,0.037,1.564,0.311,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.3985700610210188,0.0,0.11,0.0,0.11,0.06,0.038,1.599,0.322,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.4650119689758867,0.0,0.13,0.0,0.13,0.06,0.039,1.65,0.33,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.5313694939832203,0.0,0.13,0.0,0.13,0.02,0.04,1.69,0.332,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.597703706996981,0.0,0.15,0.0,0.15,0.06,0.041,1.731,0.33,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.6640727890189737,0.0,0.16,0.0,0.16,0.02,0.042,1.773,0.343,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.7304853299865499,0.0,0.17,0.0,0.17,0.02,0.043,1.795,0.343,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.7967680339934304,0.0,0.17,0.0,0.17,0.06,0.043,1.819,0.34,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.8629115800140426,0.0,0.2,0.0,0.2,0.1,0.044,1.854,0.338,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.9291445210110396,0.0,0.21,0.0,0.21,0.02,0.044,1.869,0.359,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,0.9955511399894021,0.0,0.22,0.0,0.22,0.06,0.044,1.874,0.362,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,1.0618771520094015,0.0,0.24,0.0,0.24,0.06,0.045,1.912,0.362,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,1.1282094009802677,0.0,0.23,0.0,0.23,0.02,0.047,1.979,0.351,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,150.0,run,1.1946607659920119,0.0,0.25,0.01,0.25,0.06,0.051,2.164,0.265,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,1.2230011634528637e-06,0.0,0.21,-0.05,0.21,0.04,0.059,2.491,0.48,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.07638911402318627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.14275307703064755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.2090910859988071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.2754061560262926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.3417448090040125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.4081063940539025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.4745214050053619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.5409017570200376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.6071842079982162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r1,left,0.0095,0.022,0.0,0,stop,0.6735937950434163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.00013309495989233255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.06656279595335945,0.0,-0.02,0.0,0.02,0.08,-0.004,-0.002,-0.15,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.13278106797952205,0.0,-0.05,-0.01,0.05,0.02,-0.014,-0.579,-0.083,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.1991072059608996,0.0,-0.07,-0.01,0.07,0.38,-0.026,-1.123,0.069,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.2656657350016758,0.0,-0.08,-0.01,0.08,0.02,-0.032,-1.362,0.217,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.33186114398995414,0.0,-0.11,0.0,0.11,0.02,-0.034,-1.44,0.254,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.3981488079880364,0.0,-0.12,0.01,0.12,0.02,-0.035,-1.493,0.26,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.4644566309871152,0.0,-0.14,0.01,0.14,0.02,-0.037,-1.544,0.273,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.5307852159603499,0.0,-0.11,0.0,0.11,0.02,-0.038,-1.587,0.297,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.5970425169798546,0.0,-0.16,0.0,0.16,0.04,-0.039,-1.625,0.297,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.6634783479967155,0.0,-0.15,0.0,0.15,0.02,-0.04,-1.686,0.292,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.7297619549790397,0.0,-0.18,0.0,0.18,0.02,-0.04,-1.7,0.3,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.7961216740077361,0.0,-0.18,0.0,0.18,0.08,-0.041,-1.74,0.297,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.862517315952573,0.0,-0.18,0.0,0.18,0.02,-0.042,-1.788,0.295,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.9287955919862725,0.0,-0.22,0.0,0.22,0.04,-0.042,-1.77,0.308,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,0.9950492429779842,0.0,-0.22,0.0,0.22,0.02,-0.043,-1.815,0.319,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,1.0615090869832784,0.0,-0.22,0.02,0.22,0.24,-0.043,-1.847,0.163,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,1.1278441659524105,0.0,-0.24,0.0,0.24,0.0,-0.043,-1.826,-0.042,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,-150.0,run,1.194134145975113,0.0,-0.26,0.0,0.26,0.04,-0.042,-1.802,-0.131,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,1.875974703580141e-06,0.0,-0.26,0.0,0.26,0.0,-0.042,-1.812,-0.187,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.07642920996295288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.14277351996861398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.20901238598162308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.27531638694927096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.3416837389813736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.40797987196128815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.4743925459915772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.5407329860026948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.6070846379734576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r1,left,0.0095,0.022,0.0,0,stop,0.6733836539788172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.0001282280427403748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.06617504003224894,0.0,0.01,0.01,0.01,0.1,0.001,0.042,-0.045,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.1323463290464133,0.0,0.01,0.02,0.02,0.02,0.02,0.828,-0.211,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.19843093905365095,0.0,0.07,0.0,0.07,0.02,0.033,1.391,-0.345,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.2646909970208071,0.0,0.09,0.0,0.09,0.02,0.037,1.55,-0.343,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.3309316200320609,0.0,0.11,0.0,0.11,0.04,0.037,1.552,-0.324,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.3975987720186822,0.0,0.11,0.0,0.11,0.02,0.037,1.552,-0.319,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.46374983101850376,0.0,0.13,0.0,0.13,0.02,0.038,1.59,-0.321,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.5299407120328397,0.0,0.15,0.0,0.15,0.1,0.038,1.614,-0.321,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.5961706360103562,0.0,0.15,0.0,0.15,0.02,0.039,1.643,-0.327,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.6626854380010627,0.0,0.13,-0.01,0.13,0.02,0.039,1.673,-0.177,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.7289845720515586,0.0,0.13,0.01,0.13,0.08,0.042,1.786,-0.273,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.7952405060059391,0.0,0.18,0.0,0.18,0.04,0.042,1.772,-0.292,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.8629392790026031,0.0,0.17,-0.01,0.17,0.36,0.042,1.786,-0.295,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.9292659690254368,0.0,0.18,0.0,0.18,0.48,0.043,1.807,-0.311,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,0.9959726680535823,0.0,0.22,0.0,0.22,0.04,0.043,1.82,-0.329,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,1.0622433320386335,0.0,0.22,0.01,0.22,0.02,0.044,1.845,-0.345,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,1.1285377650056034,0.0,0.23,0.0,0.23,0.12,0.045,1.882,-0.335,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,150.0,run,1.194822515011765,0.0,0.24,0.0,0.24,0.02,0.046,1.957,-0.286,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,1.8100254237651825e-06,0.0,0.25,0.0,0.25,0.0,0.049,2.073,-0.244,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.07677485700696707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.143090823024977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.20943743298994377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.2756781770149246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.34205870202276856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.4084007850033231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.47478064603637904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.5411344949970953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.6074958040262572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+150_r2,left,0.0095,0.022,0.0,0,stop,0.6738501230138354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r2,left,0.0095,0.022,0.0,-150.0,run,0.0001348080113530159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-150_r2,left,0.0095,0.022,0.0,-150.0,run,0.0667156139970757,0.0,0.02,0.0,0.02,0.08,-0.006,-0.195,-0.144,0
