host_time,sample_index,firmware_seq,firmware_time_s,mode,mode_name,dq_reference,cmdL,cmdR,rpmL,rpmR,iqL_A,iqR_A,idL_A,idR_A,idcL_A,idcR_A,hallL,hallR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,encoder_position,position_target,position_speed_ref_rpm,encoder_elec_angle_deg,encoder_rpm,encoder_sync_state,encoder_sync_text,hw_profile,hw_profile_name,foc_isr_cycles_max,enabled,timeout,left_fault,right_fault,calibrating,calibration_pct
2026-08-30T08:17:45.608,0,19953,0.000000,2,FOC SPD,generated rotor dq,0,0,0,0,40.2000,-19.3600,-0.2200,-33.5600,-0.2200,0.3200,100,110,1892,1970,1951,1936,1947,1932,42.680,47.90,3096,48.3750,77.400,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.628,1,19954,0.020000,2,FOC SPD,generated rotor dq,11,11,0,0,40.1600,-19.3900,-0.0700,-33.6000,-0.2200,0.2400,100,110,1893,1968,1950,1937,1947,1934,42.680,47.90,3148,49.1875,78.700,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.648,2,19955,0.040000,2,FOC SPD,generated rotor dq,25,25,0,0,40.1900,-19.3900,-0.0800,-33.6000,-0.2000,0.2800,100,110,1892,1970,1964,1944,1948,1932,42.680,47.90,3099,48.4219,77.475,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.669,3,19956,0.060000,2,FOC SPD,generated rotor dq,33,33,0,0,40.2300,-19.3600,-0.2500,-33.5400,-0.1800,0.3200,100,110,1893,1969,1950,1936,1945,1931,42.680,47.90,3097,48.3906,77.425,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.689,4,19957,0.080000,2,FOC SPD,generated rotor dq,39,39,0,0,40.1400,-19.3600,-0.0800,-33.5600,-0.2000,0.2200,100,110,1892,1969,1950,1937,1948,1936,42.680,47.90,3148,49.1875,78.700,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.709,5,19958,0.100000,2,FOC SPD,generated rotor dq,42,42,0,0,40.1600,-19.3800,-0.0700,-33.5900,-0.2000,0.3400,100,110,1892,1971,1951,1936,1948,1933,42.680,47.90,3099,48.4219,77.475,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.730,6,19959,0.120000,2,FOC SPD,generated rotor dq,45,45,0,0,40.1000,-19.3700,-0.0400,-33.5700,-0.2000,0.3600,100,110,1893,1969,1950,1937,1945,1931,42.680,47.90,3148,49.1875,78.700,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.750,7,19960,0.140000,2,FOC SPD,generated rotor dq,46,46,0,0,40.1900,-19.3700,-0.0700,-33.5700,-0.1800,0.2600,100,110,1894,1965,1952,1938,1944,1932,42.680,47.90,3099,48.4219,77.475,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.770,8,19961,0.160000,2,FOC SPD,generated rotor dq,48,48,0,0,40.1600,-19.3700,-0.0700,-33.5800,-0.1800,0.3600,100,110,1892,1950,1727,1935,1950,1936,42.650,47.90,3097,48.3906,77.425,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.791,9,19962,0.180000,2,FOC SPD,generated rotor dq,48,48,0,0,40.1600,-19.3800,-0.0700,-33.5900,-0.1800,0.3400,100,110,1893,1972,1964,1944,1949,1934,42.650,47.90,3148,49.1875,78.700,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.811,10,19963,0.200000,2,FOC SPD,generated rotor dq,49,49,0,0,40.1300,-19.3800,-0.0700,-33.5900,-0.2200,0.2400,100,110,1892,1968,1949,1936,1948,1936,42.650,47.90,3099,48.4219,77.475,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.831,11,19964,0.220000,2,FOC SPD,generated rotor dq,49,49,0,0,40.1500,-19.3800,-0.0700,-33.5900,-0.2000,0.3600,100,110,1892,1970,1950,1936,1947,1933,42.650,47.90,3097,48.3906,77.425,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.852,12,19965,0.240000,2,FOC SPD,generated rotor dq,49,49,0,0,40.1700,-19.3800,-0.0600,-33.5900,-0.2000,0.3600,100,110,1891,1971,1951,1936,1951,1936,42.650,47.90,3148,49.1875,78.700,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.872,13,19966,0.260000,2,FOC SPD,generated rotor dq,49,49,0,0,40.1800,-19.3700,-0.1000,-33.5600,-0.1800,0.2400,100,110,1892,1967,1954,1940,1944,1932,42.650,47.90,3099,48.4219,77.475,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.892,14,19967,0.280000,2,FOC SPD,generated rotor dq,49,49,0,0,40.1600,-19.3900,-0.0700,-33.6000,-0.2000,0.3800,100,110,1891,1971,1952,1936,1948,1934,42.650,47.90,3097,48.3906,77.425,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.913,15,19968,0.300000,2,FOC SPD,generated rotor dq,49,49,0,0,40.0600,-19.3700,-0.0300,-33.5800,-0.2000,0.2400,100,110,1894,1966,1951,1941,1945,1932,42.650,47.90,3148,49.1875,78.700,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.933,16,19969,0.320000,2,FOC SPD,generated rotor dq,49,49,0,0,40.1900,-19.3500,-0.2400,-33.5400,-0.2000,0.3400,100,110,1892,1970,1952,1936,1946,1932,42.650,47.90,3099,48.4219,77.475,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.953,17,19970,0.340000,2,FOC SPD,generated rotor dq,49,49,0,0,40.1800,-19.3800,-0.0700,-33.5900,-0.1600,0.3400,100,110,1893,1969,1963,1944,1948,1932,42.650,47.90,3097,48.3906,77.425,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
2026-08-30T08:17:45.973,18,19971,0.360000,2,FOC SPD,generated rotor dq,50,50,0,0,40.1600,-19.3800,-0.0600,-33.5900,-0.2000,0.3600,100,110,1892,1970,1951,1937,1947,1933,42.650,47.90,3148,49.1875,78.700,0,0,0,0.0,0,0,idle,1,two_hall,3340,1,0,0,0,0,100.0
