host_time,elapsed_s,telemetry_version,cmdL,cmdR,rpmL,rpmR,dutyL_pct,dutyR_pct,currentMotorL_A,currentMotorR_A,currentInL_A,currentInR_A,idL_A,idR_A,iqL_A,iqR_A,vdL_V,vdR_V,vqL_V,vqR_V,hallL,hallR,faultL,faultR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,status
2026-09-01T21:18:18.235,0.001,2,0,0,0,0,1.2,-4.2,-0.31,0.17,0.12,0.04,0.01,0.00,-0.31,0.17,-0.55,-1.95,0.00,0.00,110,010,0,0,1931,1983,2005,1866,1971,1932,42.83,34.5,3226,50.406,80.65,1
2026-09-01T21:18:18.245,0.012,2,0,0,0,0,1.2,-4.1,-0.31,0.17,0.28,0.04,0.00,0.00,-0.31,0.17,-0.55,-1.94,0.00,0.00,110,010,0,0,1927,1984,2004,1866,1970,1932,42.83,34.5,3225,50.391,80.62,1
2026-09-01T21:18:18.256,0.022,2,2,2,0,0,1.2,4.2,-0.31,0.17,0.02,0.04,0.00,0.00,-0.31,0.17,-0.55,-1.95,0.11,0.11,110,010,0,0,1932,1984,2004,1866,1970,1932,42.83,34.5,3225,50.391,80.62,1
2026-09-01T21:18:18.267,0.033,2,11,11,0,0,1.9,4.2,-0.29,0.19,0.04,0.02,0.01,0.02,-0.29,0.19,-0.57,-1.95,0.66,0.66,110,010,0,0,1928,1984,2004,1866,1972,1932,42.83,34.3,3225,50.391,80.62,1
2026-09-01T21:18:18.277,0.044,2,19,19,0,0,2.9,4.4,-0.26,0.29,0.08,0.02,0.00,-0.03,-0.26,0.29,-0.58,-1.92,1.24,1.25,110,010,0,0,1932,1982,2002,1866,1976,1928,42.83,34.3,3225,50.391,80.62,1
2026-09-01T21:18:18.288,0.054,2,25,25,0,0,3.9,5.3,-0.15,0.56,0.06,0.02,0.00,0.00,-0.15,0.56,-0.60,-1.86,1.79,1.80,110,110,0,0,1928,1979,1997,1866,1988,1921,42.83,34.3,3264,51.000,81.60,1
2026-09-01T21:18:18.299,0.065,2,29,29,0,0,4.8,6.2,-0.01,0.64,0.22,0.10,-0.06,0.00,-0.01,0.64,-0.51,-1.82,2.29,2.30,110,110,0,0,1932,1978,1993,1867,1995,1922,42.83,34.3,3264,51.000,81.60,1
2026-09-01T21:18:18.312,0.078,2,33,33,0,0,5.6,7.2,0.21,0.65,0.06,0.04,-0.05,0.05,0.21,0.65,-0.40,-1.88,2.84,2.84,110,110,0,0,1939,1971,1981,1872,1996,1926,42.83,34.3,3264,51.000,81.60,1
2026-09-01T21:18:18.321,0.087,2,36,36,0,0,6.4,8.2,0.31,0.62,0.02,-0.04,-0.37,0.04,0.31,0.62,-0.22,-1.97,3.36,3.31,010,110,0,0,1926,2004,1979,1865,1994,1925,42.83,34.3,3292,51.438,82.30,1
2026-09-01T21:18:18.332,0.098,2,39,39,0,0,7.3,9.4,0.39,0.37,0.06,0.08,-0.09,-0.04,0.39,0.37,0.05,-2.02,3.92,3.93,010,100,0,0,1927,1988,1972,1867,1971,1919,42.83,34.3,3292,51.438,82.30,1
2026-09-01T21:18:18.342,0.109,2,41,41,0,0,8.3,10.2,0.70,0.35,0.10,0.08,0.28,0.06,0.70,0.35,-0.26,-2.06,4.40,4.40,010,100,0,0,1931,1981,1955,1867,1975,1920,42.83,34.3,3291,51.422,82.28,1
2026-09-01T21:18:18.353,0.120,2,42,42,0,0,10.0,11.1,0.74,0.17,0.14,0.12,-0.15,-0.33,0.75,0.17,-0.84,-1.94,4.96,4.97,011,101,0,0,1936,2016,1996,1868,1943,1945,42.83,34.3,3292,51.438,82.30,1
