host_time,sample_index,firmware_seq,firmware_time_s,mode,mode_name,dq_reference,cmdL,cmdR,rpmL,rpmR,iqL_A,iqR_A,idL_A,idR_A,idcL_A,idcR_A,hallL,hallR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,encoder_position,position_target,position_speed_ref_rpm,encoder_elec_angle_deg,encoder_rpm,encoder_sync_state,encoder_sync_text,hw_profile,hw_profile_name,foc_isr_cycles_max,enabled,timeout,left_fault,right_fault,calibrating,calibration_pct
2026-08-30T09:19:44.949,0,1307,0.000000,2,FOC SPD,generated rotor dq,0,0,0,0,-0.0200,0.0000,0.0400,-0.0200,-0.2000,0.3200,011,011,1894,1970,1952,1936,1951,1939,42.650,48.90,3163,49.4219,79.075,0,0,0,0.0,0,0,idle,1,two_hall,3223,1,0,0,0,0,100.0
2026-08-30T09:19:44.969,1,1308,0.020000,2,FOC SPD,generated rotor dq,16,16,0,0,-0.0100,0.0100,0.0600,-0.0300,-0.2000,0.3200,011,011,1895,1971,1951,1935,1956,1940,42.650,48.90,3078,48.0938,76.950,0,0,0,0.0,0,0,idle,1,two_hall,3223,1,0,0,0,0,100.0
2026-08-30T09:19:44.990,2,1309,0.040000,2,FOC SPD,generated rotor dq,45,45,0,0,0.1100,0.0800,0.1400,-0.0900,-0.2000,0.3600,011,011,1894,1979,1949,1934,1947,1934,42.650,48.90,3129,48.8906,78.225,0,0,0,0.0,0,0,idle,1,two_hall,3223,1,0,0,0,0,100.0
2026-08-30T09:19:45.010,3,1310,0.060000,2,FOC SPD,generated rotor dq,64,64,0,0,1.2300,0.8600,0.8000,-0.5600,-0.1000,0.3600,011,011,1898,2034,1951,1937,1951,1983,42.650,48.90,3083,48.1719,77.075,0,0,0,0.0,0,0,idle,1,two_hall,3223,1,0,0,0,0,100.0
2026-08-30T09:19:45.032,4,1311,0.080000,2,FOC SPD,generated rotor dq,76,76,0,0,1.9700,2.2300,1.1900,-1.3400,0.0400,0.5200,001,011,1906,1971,2054,1947,1951,2046,42.650,48.90,3091,48.2969,77.275,0,0,0,0.0,0,0,idle,1,two_hall,3228,1,0,0,0,0,100.0
2026-08-30T09:19:45.051,5,1312,0.100000,2,FOC SPD,generated rotor dq,84,84,0,45,2.9000,2.7100,-0.9400,-1.3400,0.5600,1.1400,101,110,1929,1864,2120,1973,2084,1808,42.650,49.00,3116,48.6875,77.900,0,0,0,0.0,0,0,idle,1,two_hall,3288,1,0,0,0,0,100.0
2026-08-30T09:19:45.071,6,1313,0.120000,2,FOC SPD,generated rotor dq,89,89,148,202,5.5600,6.6100,4.8600,-1.9400,3.4000,4.8400,001,011,2076,2148,2123,2168,1820,2343,42.650,49.00,3033,47.3906,75.825,0,0,0,0.0,0,0,idle,1,two_hall,3294,1,0,0,0,0,100.0
2026-08-30T09:19:45.091,7,1314,0.140000,2,FOC SPD,generated rotor dq,93,93,316,307,2.4600,6.2200,0.3100,0.8400,1.5000,1.9400,010,100,1983,1978,1867,2015,1974,1698,42.650,49.00,3139,49.0469,78.475,0,0,0,0.0,0,0,idle,1,two_hall,3468,1,0,0,0,0,100.0
2026-08-30T09:19:45.112,8,1315,0.160000,2,FOC SPD,generated rotor dq,95,95,335,339,2.3300,1.6800,-0.1400,0.0300,1.8400,2.0800,100,010,1996,1839,2022,2028,2043,1899,42.650,49.00,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3493,1,0,0,0,0,100.0
2026-08-30T09:19:45.132,9,1316,0.180000,2,FOC SPD,generated rotor dq,97,97,344,347,1.7900,1.4300,0.5700,0.5400,1.8600,1.6800,001,011,1993,1972,2029,1999,1939,1985,42.520,49.00,2991,46.7344,74.775,0,0,0,0.0,0,0,idle,1,two_hall,3493,1,0,0,0,0,100.0
2026-08-30T09:19:45.152,10,1317,0.200000,2,FOC SPD,generated rotor dq,98,98,380,368,2.1900,2.3700,0.0600,-0.0700,2.1000,2.0600,001,001,2008,2015,2007,2021,1862,2005,42.520,49.00,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3629,1,0,0,0,0,100.0
2026-08-30T09:19:45.173,11,1318,0.220000,2,FOC SPD,generated rotor dq,98,98,418,403,2.1600,2.7300,-0.3900,0.5200,1.9600,2.2200,001,001,2002,1943,2060,2027,1854,1972,42.520,49.00,2991,46.7344,74.775,0,0,0,0.0,0,0,idle,1,two_hall,3629,1,0,0,0,0,100.0
