host_time,elapsed_s,telemetry_version,cmdL,cmdR,rpmL,rpmR,dutyL_pct,dutyR_pct,currentMotorL_A,currentMotorR_A,currentInL_A,currentInR_A,idL_A,idR_A,iqL_A,iqR_A,vdL_V,vdR_V,vqL_V,vqR_V,hallL,hallR,faultL,faultR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,status
2026-09-01T21:23:04.135,0.027,2,0,0,0,0,4.3,4.0,0.00,0.00,0.10,0.04,0.02,0.00,0.00,0.00,-2.01,0.00,0.97,2.15,010,110,0,0,1927,1979,1996,1867,1964,1938,42.89,34.3,3643,56.922,91.08,1
2026-09-01T21:23:04.161,0.053,2,0,0,0,0,4.3,3.9,0.00,0.02,0.10,0.06,0.01,0.00,0.00,0.02,-2.00,0.00,0.97,2.13,010,110,0,0,1928,1980,1998,1864,1965,1939,42.86,34.3,3642,56.906,91.05,1
2026-09-01T21:23:04.186,0.078,2,0,0,0,0,4.3,3.9,0.00,0.00,0.06,0.00,0.01,0.00,0.00,0.00,-2.01,-0.01,0.98,2.11,010,110,0,0,1931,1978,1994,1867,1963,1938,42.86,34.3,3643,56.922,91.08,1
2026-09-01T21:23:04.208,0.099,2,0,0,0,0,4.3,3.9,0.01,0.02,0.06,0.00,0.00,0.00,0.01,0.02,-2.01,0.00,0.97,2.13,010,110,0,0,1930,1978,2007,1863,1961,1933,42.86,34.3,3642,56.906,91.05,1
2026-09-01T21:23:04.228,0.120,2,0,0,0,0,4.2,4.0,0.00,-0.01,-0.02,-0.04,0.00,0.00,0.00,-0.01,-1.99,0.00,0.97,2.14,010,110,0,0,1931,1978,1994,1867,1962,1936,42.86,34.3,3642,56.906,91.05,1
2026-09-01T21:23:04.252,0.143,2,0,0,0,0,4.3,3.9,0.00,0.01,0.06,0.04,-0.01,0.00,0.00,0.01,-2.01,0.00,0.98,2.12,010,110,0,0,1931,1978,1994,1866,1963,1937,42.86,34.3,3642,56.906,91.05,1
2026-09-01T21:23:04.272,0.164,2,0,0,0,0,4.2,4.0,0.00,0.00,0.08,0.02,-0.02,0.00,0.00,0.00,-1.99,0.00,0.97,2.14,010,110,0,0,1931,1976,1994,1867,1961,1937,42.86,34.3,3641,56.891,91.03,1
2026-09-01T21:23:04.297,0.189,2,0,0,0,0,4.3,3.9,0.00,0.00,0.12,0.08,0.02,0.00,0.00,0.00,-2.02,-0.01,0.97,2.12,010,110,0,0,1931,1976,1994,1867,1963,1937,42.86,34.3,3642,56.906,91.05,1
2026-09-01T21:23:04.319,0.211,2,0,0,0,0,4.3,4.0,0.00,-0.01,0.08,0.04,0.00,0.00,0.00,-0.01,-2.01,0.00,0.97,2.15,010,110,0,0,1930,1978,1994,1867,1962,1935,42.86,34.3,3643,56.922,91.08,1
2026-09-01T21:23:04.345,0.237,2,0,0,0,0,4.3,3.9,0.00,0.00,0.06,0.02,0.01,0.00,0.00,0.00,-2.02,0.00,0.97,2.12,010,110,0,0,1927,1970,2018,1866,1963,1934,42.86,34.3,3642,56.906,91.05,1
