host_time,elapsed_s,telemetry_version,cmdL,cmdR,rpmL,rpmR,dutyL_pct,dutyR_pct,currentMotorL_A,currentMotorR_A,currentInL_A,currentInR_A,idL_A,idR_A,iqL_A,iqR_A,vdL_V,vdR_V,vqL_V,vqR_V,hallL,hallR,faultL,faultR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,status
2026-09-01T21:22:09.733,0.008,2,0,0,0,0,0.0,0.0,0.13,0.31,0.04,0.02,-0.33,0.00,0.13,0.31,0.00,0.00,0.00,0.00,010,010,0,0,1926,1984,2019,1860,1969,1940,42.68,33.3,3277,51.203,81.92,1
2026-09-01T21:22:09.744,0.019,2,2,2,0,0,0.0,0.0,0.12,0.30,0.04,0.02,-0.34,0.00,0.12,0.30,0.00,0.00,0.00,0.00,010,010,0,0,1928,1983,2007,1865,1971,1945,42.68,33.3,3278,51.219,81.95,1
2026-09-01T21:22:09.754,0.029,2,16,16,0,0,0.0,0.0,0.10,0.31,0.10,0.02,-0.39,0.00,0.10,0.31,0.00,0.00,0.00,0.00,010,010,0,0,1927,1984,2006,1863,1971,1945,42.68,33.3,3278,51.219,81.95,1
2026-09-01T21:22:09.764,0.040,2,32,32,0,0,0.0,0.0,0.12,0.31,0.04,0.02,-0.33,0.00,0.12,0.31,0.00,0.00,0.00,0.00,010,010,0,0,1928,1983,2005,1866,1971,1944,42.68,33.3,3277,51.203,81.92,1
2026-09-01T21:22:09.775,0.050,2,45,45,0,0,0.0,0.0,0.13,0.31,0.04,0.00,-0.35,0.00,0.13,0.31,0.00,0.00,0.00,0.00,010,010,0,0,1927,1983,2006,1864,1970,1945,42.68,33.3,3278,51.219,81.95,1
2026-09-01T21:22:09.785,0.060,2,55,55,0,0,0.0,0.0,0.13,0.30,0.06,0.00,-0.37,0.00,0.13,0.30,0.00,0.00,0.00,0.00,010,010,0,0,1927,1985,2006,1864,1971,1946,42.68,33.3,3278,51.219,81.95,1
2026-09-01T21:22:09.795,0.070,2,64,64,0,0,0.0,0.0,0.13,0.31,0.04,-0.02,-0.34,0.00,0.13,0.31,0.00,0.00,0.00,0.00,010,010,0,0,1927,1984,2004,1863,1971,1946,42.68,33.3,3278,51.219,81.95,1
2026-09-01T21:22:09.806,0.081,2,71,71,0,0,0.0,0.0,0.12,0.31,0.10,0.04,-0.35,0.00,0.12,0.31,0.00,0.00,0.00,0.00,010,010,0,0,1927,1984,2005,1866,1971,1946,42.68,33.3,3278,51.219,81.95,1
2026-09-01T21:22:09.816,0.091,2,76,76,0,0,0.0,0.0,0.11,0.30,0.04,0.00,-0.34,0.00,0.11,0.30,0.00,0.00,0.00,0.00,010,010,0,0,1926,1983,2018,1859,1969,1940,42.68,33.3,3278,51.219,81.95,1
2026-09-01T21:22:09.826,0.102,2,80,80,0,0,0.0,0.0,0.13,0.31,0.04,0.02,-0.33,0.00,0.13,0.31,0.00,0.00,0.00,0.00,010,010,0,0,1927,1983,2006,1865,1971,1943,42.68,33.3,3278,51.219,81.95,1
2026-09-01T21:22:09.948,0.224,2,84,84,0,0,6.3,8.7,0.94,0.70,0.08,0.08,0.31,0.31,0.94,0.70,-0.03,-1.09,3.39,4.08,001,110,0,0,1929,2015,2003,1867,1999,1935,42.68,33.3,3332,52.062,83.30,1
