host_time,elapsed_s,telemetry_version,cmdL,cmdR,rpmL,rpmR,dutyL_pct,dutyR_pct,currentMotorL_A,currentMotorR_A,currentInL_A,currentInR_A,idL_A,idR_A,iqL_A,iqR_A,vdL_V,vdR_V,vqL_V,vqR_V,hallL,hallR,faultL,faultR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,status
2026-09-01T21:23:19.437,0.009,2,0,0,0,0,4.4,-3.9,0.10,0.11,0.00,-0.06,-0.02,0.01,0.10,0.11,2.04,1.84,0.00,0.00,011,001,0,0,1928,1986,1993,1864,1962,1947,42.68,34.5,3246,50.719,81.15,1
2026-09-01T21:23:19.448,0.020,2,7,7,0,0,4.3,3.9,0.08,0.13,0.10,0.04,0.01,0.00,0.08,0.13,2.04,1.84,0.40,0.40,011,001,0,0,1928,1983,1991,1866,1959,1946,42.68,34.5,3249,50.766,81.22,1
2026-09-01T21:23:19.459,0.031,2,15,15,0,0,4.3,3.9,0.13,0.17,0.10,0.04,0.04,0.00,0.13,0.17,2.03,1.83,0.94,0.94,011,001,0,0,1924,1987,2004,1860,1957,1942,42.68,34.5,3249,50.766,81.22,1
2026-09-01T21:23:19.578,0.150,2,22,22,0,0,6.3,6.2,0.89,0.65,0.10,0.06,0.22,0.17,0.89,0.65,-0.11,-0.05,3.34,3.34,001,010,0,0,1929,2010,2007,1865,1972,1964,42.70,34.5,3309,51.703,82.72,1
2026-09-01T21:23:19.588,0.160,2,27,27,0,0,8.0,7.8,1.49,1.16,0.16,0.10,0.40,0.37,1.49,1.16,-0.69,-0.57,3.92,3.92,001,010,0,0,1931,2033,2017,1867,1976,1982,42.70,34.5,3309,51.703,82.72,1
2026-09-01T21:23:19.599,0.171,2,31,31,0,0,9.0,9.2,0.77,0.81,0.14,0.10,0.00,-0.13,0.77,0.81,-0.77,-0.97,4.44,4.45,101,110,0,0,1932,1959,2031,1870,2004,1910,42.70,34.5,3312,51.750,82.80,1
2026-09-01T21:23:19.610,0.182,2,35,35,0,0,10.8,10.5,1.30,0.97,0.16,0.02,0.60,0.38,1.30,0.97,-1.54,-1.24,5.00,5.01,101,110,0,0,1935,1971,2064,1870,2015,1935,42.70,34.5,3311,51.734,82.78,1
2026-09-01T21:23:19.621,0.193,2,38,38,0,0,11.9,12.1,0.54,0.59,0.22,0.20,0.00,-0.14,0.54,0.59,-1.65,-1.79,5.54,5.55,100,100,0,0,1933,1950,2024,1869,1969,1903,42.70,34.5,3312,51.750,82.80,1
2026-09-01T21:23:19.632,0.204,2,40,40,0,20,13.4,11.6,0.36,0.11,0.24,0.08,-0.35,-0.08,0.36,0.11,-2.04,-2.34,6.12,4.97,110,101,0,0,1937,1979,1967,1869,1947,1952,42.70,34.5,3313,51.766,82.83,1
2026-09-01T21:23:19.643,0.215,2,42,42,28,20,11.7,12.3,-0.15,0.42,0.02,0.02,-0.33,0.37,-0.15,0.42,-2.38,-2.48,5.03,5.30,010,101,0,0,1930,1987,2003,1872,1969,1904,42.70,34.5,3315,51.797,82.88,1
2026-09-01T21:23:19.654,0.226,2,43,43,43,30,10.3,10.6,0.15,0.00,0.06,0.04,-0.39,-0.30,0.15,0.00,-2.11,-1.73,4.37,4.93,011,001,0,0,1930,1982,2015,1868,1971,1947,42.70,34.5,3326,51.969,83.15,1
2026-09-01T21:23:19.665,0.237,2,44,44,52,43,9.2,9.3,0.25,0.29,0.06,0.00,-0.11,-0.25,0.25,0.27,-1.73,-1.26,3.98,4.37,001,011,0,0,1928,1978,2008,1864,1977,1946,42.70,34.5,3326,51.969,83.15,1
2026-09-01T21:23:19.676,0.248,2,45,45,52,48,8.9,9.1,0.16,0.29,0.04,0.00,0.03,-0.03,0.16,0.29,-1.70,-1.17,3.95,4.14,001,010,0,0,1928,1974,2003,1866,1976,1938,42.70,34.5,3327,51.984,83.17,1
2026-09-01T21:23:19.687,0.259,2,46,46,53,48,8.6,9.0,0.08,0.69,0.10,0.06,0.08,0.25,0.08,0.69,-1.85,-1.29,3.88,4.17,101,010,0,0,1931,1976,1996,1867,1969,1976,42.70,34.5,3320,51.875,83.00,1
2026-09-01T21:23:19.700,0.272,2,47,47,52,46,8.2,8.3,-0.05,0.24,0.08,0.06,-0.23,-0.05,-0.05,0.24,-1.73,-1.29,3.92,4.33,100,110,0,0,1933,1987,1983,1870,1971,1925,42.70,34.5,3330,52.031,83.25,1
2026-09-01T21:23:19.710,0.282,2,47,47,47,43,9.6,10.1,-0.19,0.06,0.08,0.08,-0.03,-0.02,-0.17,0.05,-1.74,-1.55,4.15,4.53,110,100,0,0,1930,1987,1993,1868,1961,1938,42.70,34.5,3328,52.000,83.20,1
2026-09-01T21:23:19.720,0.293,2,48,48,47,43,8.5,9.8,0.00,0.01,0.08,0.06,-0.45,0.04,0.00,0.01,-1.00,-1.24,4.21,4.63,110,100,0,0,1930,1996,2004,1863,1990,1920,42.70,34.5,3322,51.906,83.05,1
2026-09-01T21:23:19.732,0.304,2,48,48,43,41,9.6,9.7,0.08,0.01,0.10,0.04,-0.35,-0.35,0.08,0.00,-0.89,-0.71,4.47,4.82,010,101,0,0,1932,1990,1997,1868,1958,1955,42.70,34.5,3329,52.016,83.22,1
2026-09-01T21:23:19.743,0.315,2,48,48,43,40,8.9,10.5,0.52,0.22,0.16,0.08,0.20,-0.34,0.52,0.22,-0.56,-0.19,4.53,4.96,010,001,0,0,1933,1978,1954,1869,1958,1954,42.70,34.5,3325,51.953,83.12,1
2026-09-01T21:23:19.754,0.326,2,49,49,41,40,9.8,9.4,0.59,0.19,0.12,0.06,-0.13,-0.02,0.59,0.19,-0.06,0.02,4.72,5.04,011,011,0,0,1929,1992,2016,1861,1961,1948,42.70,34.5,3325,51.953,83.12,1
2026-09-01T21:23:19.765,0.337,2,49,49,38,40,10.4,10.9,0.61,0.61,0.14,0.10,-0.05,-0.02,0.61,0.61,-0.06,0.29,5.04,5.20,001,011,0,0,1931,1982,2020,1869,1972,1961,42.70,34.5,3325,51.953,83.12,1
2026-09-01T21:23:19.776,0.348,2,49,49,38,41,9.6,11.0,0.45,0.60,0.10,0.08,0.22,0.11,0.45,0.60,-0.41,0.14,5.15,5.23,001,010,0,0,1929,1974,2014,1867,1986,1946,42.70,34.5,3326,51.969,83.15,1
2026-09-01T21:23:19.787,0.359,2,49,49,38,41,11.0,10.8,0.35,0.32,0.14,0.08,0.35,0.16,0.35,0.32,-0.82,-0.21,5.27,5.32,101,110,0,0,1927,1969,2029,1861,1979,1930,42.70,34.5,3328,52.000,83.20,1
2026-09-01T21:23:19.799,0.371,2,49,49,39,41,11.5,10.1,0.06,0.11,0.14,0.08,0.22,0.19,0.06,0.11,-1.15,-0.61,5.33,5.41,100,110,0,0,1930,1971,2006,1866,1974,1934,42.70,34.5,3327,51.984,83.17,1
2026-09-01T21:23:19.810,0.382,2,49,49,41,42,11.5,11.2,-0.05,0.02,0.10,0.06,-0.11,0.15,-0.05,0.02,-1.15,-0.82,5.32,5.42,110,100,0,0,1929,1984,1992,1866,1971,1933,42.70,34.5,3328,52.000,83.20,1
2026-09-01T21:23:19.821,0.393,2,49,49,44,44,10.6,11.4,-0.07,-0.02,0.06,0.04,-0.26,-0.17,-0.07,-0.02,-0.83,-0.56,5.24,5.38,010,101,0,0,1932,1991,1999,1868,1963,1949,42.70,34.5,3328,52.000,83.20,1
2026-09-01T21:23:19.832,0.404,2,49,49,44,45,10.5,11.2,0.10,0.10,0.06,0.04,-0.27,-0.31,0.10,0.10,-0.35,-0.09,5.29,5.37,010,001,0,0,1928,1988,1999,1865,1963,1951,42.70,34.7,3326,51.969,83.15,1
2026-09-01T21:23:19.843,0.415,2,49,49,46,45,11.0,10.3,0.44,0.28,0.12,0.06,-0.16,0.22,0.44,0.28,0.03,-0.04,5.22,5.41,011,011,0,0,1931,1992,2004,1867,1960,1958,42.70,34.7,3325,51.953,83.12,1
2026-09-01T21:23:19.855,0.427,2,49,49,48,45,10.9,11.0,0.47,0.54,0.10,0.06,0.08,0.03,0.47,0.54,-0.02,0.21,5.13,5.45,001,011,0,0,1929,1982,2010,1867,1970,1957,42.70,34.7,3326,51.969,83.15,1
2026-09-01T21:23:19.866,0.438,2,49,49,46,47,10.8,11.1,0.41,0.41,0.08,-0.02,0.22,0.21,0.41,0.41,-0.48,-0.02,5.26,5.37,101,010,0,0,1931,1970,2014,1867,1980,1945,42.70,34.7,3325,51.953,83.12,1
2026-09-01T21:23:19.877,0.449,2,49,49,46,46,10.4,11.6,0.14,0.36,0.10,0.08,0.14,0.23,0.14,0.36,-0.85,-0.37,5.29,5.45,101,110,0,0,1929,1971,2003,1867,1983,1929,42.70,34.7,3329,52.016,83.22,1
2026-09-01T21:23:19.888,0.460,2,49,49,46,45,10.7,11.6,-0.13,0.08,0.14,0.10,0.05,0.14,-0.13,0.08,-1.16,-0.74,5.32,5.54,100,100,0,0,1928,1983,1999,1865,1973,1933,42.70,34.7,3327,51.984,83.17,1
2026-09-01T21:23:19.900,0.472,2,49,49,46,48,11.3,11.1,-0.03,-0.09,0.10,0.04,-0.14,-0.13,-0.03,-0.09,-0.92,-0.78,5.35,5.41,110,101,0,0,1930,1986,1992,1866,1959,1946,42.70,34.7,3328,52.000,83.20,1
2026-09-01T21:23:19.910,0.482,2,49,49,45,48,11.4,10.3,0.09,-0.07,0.10,0.04,-0.33,-0.30,0.11,-0.07,-0.40,-0.37,5.45,5.42,010,101,0,0,1928,1991,2005,1864,1963,1946,42.70,34.7,3330,52.031,83.25,1
2026-09-01T21:23:19.921,0.493,2,49,49,47,47,10.5,11.4,0.25,0.24,0.04,-0.02,-0.31,-0.21,0.25,0.24,-0.01,0.07,5.37,5.50,011,001,0,0,1930,1986,2002,1868,1961,1953,42.70,34.7,3325,51.953,83.12,1
2026-09-01T21:23:19.932,0.504,2,50,50,47,47,10.6,11.6,0.50,0.37,0.12,0.10,-0.01,-0.17,0.50,0.37,0.17,0.24,5.39,5.52,011,011,0,0,1930,1989,2002,1866,1970,1952,42.70,34.7,3326,51.969,83.15,1
2026-09-01T21:23:19.943,0.515,2,50,50,48,49,11.2,11.3,0.44,0.45,0.12,0.06,0.21,0.05,0.44,0.45,-0.04,0.15,5.42,5.49,001,010,0,0,1929,1982,2024,1861,1976,1940,42.70,34.7,3326,51.969,83.15,1
2026-09-01T21:23:19.955,0.527,2,50,50,48,48,11.4,11.0,0.25,0.30,0.12,0.06,0.34,0.16,0.25,0.30,-0.53,-0.18,5.44,5.56,101,110,0,0,1929,1975,2015,1865,1982,1937,42.70,34.7,3327,51.984,83.17,1
2026-09-01T21:23:19.966,0.538,2,50,50,48,48,11.7,10.4,0.03,0.10,0.16,0.10,0.19,0.13,0.03,0.10,-0.88,-0.51,5.46,5.58,100,110,0,0,1931,1971,2005,1866,1969,1931,42.70,34.7,3328,52.000,83.20,1
2026-09-01T21:23:19.977,0.549,2,50,50,48,47,11.5,11.5,-0.16,0.00,0.12,0.06,-0.07,0.12,-0.16,0.00,-0.86,-0.80,5.48,5.67,110,100,0,0,1929,1985,1997,1866,1971,1937,42.70,34.7,3327,51.984,83.17,1
2026-09-01T21:23:19.988,0.560,2,50,50,49,48,10.7,11.9,-0.04,0.01,0.10,0.08,-0.30,-0.16,-0.04,0.01,-0.52,-0.50,5.45,5.64,010,101,0,0,1930,1990,1997,1868,1958,1946,42.70,34.7,3328,52.000,83.20,1
2026-09-01T21:23:19.999,0.571,2,50,50,49,49,10.7,11.8,0.19,0.13,0.08,0.04,-0.26,-0.30,0.19,0.13,-0.05,-0.05,5.46,5.60,010,001,0,0,1928,1988,1999,1865,1963,1951,42.70,34.7,3326,51.969,83.15,1
2026-09-01T21:23:20.010,0.582,2,50,50,48,49,11.7,11.3,0.54,0.28,0.12,0.08,-0.14,-0.14,0.54,0.28,0.23,0.19,5.53,5.61,011,011,0,0,1932,1995,2005,1868,1970,1952,42.70,34.7,3326,51.969,83.15,1
2026-09-01T21:23:20.021,0.593,2,50,50,48,50,11.7,10.5,0.47,0.46,0.12,0.06,0.08,0.09,0.47,0.46,0.10,0.18,5.55,5.56,001,010,0,0,1929,1982,2012,1867,1973,1949,42.70,34.7,3325,51.953,83.12,1
2026-09-01T21:23:20.032,0.604,2,50,50,49,50,11.6,10.6,0.30,0.32,0.12,0.06,0.28,0.25,0.30,0.32,-0.36,-0.13,5.52,5.56,101,010,0,0,1929,1975,2011,1866,1978,1942,42.70,34.7,3326,51.969,83.15,1
2026-09-01T21:23:20.043,0.615,2,50,50,48,50,11.6,11.1,0.00,0.14,0.12,0.06,0.29,0.23,0.00,0.14,-0.88,-0.47,5.58,5.56,100,110,0,0,1926,1975,2017,1861,1971,1931,42.70,34.7,3328,52.000,83.20,1
2026-09-01T21:23:20.055,0.627,2,50,50,48,49,10.9,11.9,-0.13,0.03,0.08,0.06,-0.04,0.16,-0.13,0.03,-0.96,-0.78,5.61,5.62,100,100,0,0,1928,1982,1996,1866,1971,1933,42.70,34.7,3328,52.000,83.20,1
2026-09-01T21:23:20.066,0.638,2,50,50,50,49,10.5,12.0,-0.11,0.00,0.08,0.08,-0.24,-0.17,-0.09,0.00,-0.67,-0.55,5.50,5.63,110,101,0,0,1929,1987,2011,1865,1957,1941,42.70,34.7,3330,52.031,83.25,1
