host_time,elapsed_s,telemetry_version,cmdL,cmdR,rpmL,rpmR,dutyL_pct,dutyR_pct,currentMotorL_A,currentMotorR_A,currentInL_A,currentInR_A,idL_A,idR_A,iqL_A,iqR_A,vdL_V,vdR_V,vqL_V,vqR_V,hallL,hallR,faultL,faultR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,status
2026-09-01T21:17:56.078,0.002,2,0,0,0,0,0.0,0.0,0.11,0.16,0.06,0.04,-0.25,-0.30,0.11,0.16,0.00,0.00,0.00,0.00,011,001,0,0,1938,1984,1999,1867,1975,1949,42.52,34.3,3291,51.422,82.28,1
2026-09-01T21:17:56.088,0.011,2,0,0,0,0,0.0,0.0,0.12,0.17,0.10,0.02,-0.26,-0.30,0.12,0.17,0.00,0.00,0.00,0.00,011,001,0,0,1930,1981,2005,1864,1970,1945,42.52,34.3,3291,51.422,82.28,1
2026-09-01T21:17:56.098,0.022,2,0,0,0,0,0.0,0.0,0.11,0.17,0.02,0.04,-0.24,-0.31,0.11,0.17,0.00,0.00,0.00,0.00,011,001,0,0,1926,1981,2004,1864,1971,1945,42.52,34.3,3291,51.422,82.28,1
2026-09-01T21:17:56.109,0.032,2,8,8,0,0,0.7,0.7,0.12,0.16,0.36,0.12,-0.25,-0.31,0.12,0.16,0.00,0.00,0.33,0.33,011,001,0,0,1927,1982,2004,1866,1972,1946,42.52,34.3,3299,51.547,82.47,1
2026-09-01T21:17:56.119,0.043,2,25,25,0,0,2.0,2.0,0.14,0.19,0.08,0.06,-0.27,-0.32,0.14,0.19,0.00,0.00,1.06,1.06,011,001,0,0,1929,1982,2004,1867,1970,1946,42.52,34.3,3301,51.578,82.53,1
2026-09-01T21:17:56.129,0.053,2,39,39,0,0,3.1,3.1,0.18,0.22,0.12,0.06,-0.32,-0.30,0.18,0.22,0.00,0.00,1.65,1.65,011,001,0,0,1931,1984,2002,1866,1968,1948,42.52,34.3,3301,51.578,82.53,1
2026-09-01T21:17:56.142,0.065,2,50,50,0,0,3.9,3.9,0.27,0.29,0.08,0.06,-0.29,-0.29,0.27,0.29,0.00,0.00,2.12,2.12,011,001,0,0,1929,1992,2000,1867,1968,1952,42.52,34.3,3301,51.578,82.53,1
2026-09-01T21:17:56.150,0.073,2,60,60,0,0,4.3,4.3,0.41,0.38,0.16,0.08,-0.26,-0.27,0.41,0.38,0.00,0.00,2.33,2.33,011,001,0,0,1943,1998,1990,1867,1970,1962,42.52,34.3,3302,51.594,82.55,1
2026-09-01T21:17:56.160,0.084,2,67,67,0,0,5.3,5.3,0.63,0.46,0.10,0.08,-0.16,-0.28,0.63,0.46,0.00,0.00,2.84,2.84,011,001,0,0,1947,2018,1980,1869,1968,1968,42.52,34.3,3301,51.578,82.53,1
2026-09-01T21:17:56.171,0.094,2,73,73,0,0,5.7,5.6,0.90,0.54,0.12,0.02,0.02,-0.26,0.90,0.54,0.00,0.00,3.10,3.01,011,011,0,0,1931,2022,1970,1865,1958,1963,42.52,34.3,3337,52.141,83.42,1
