case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.00012861797586083412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.06667972501600161,0.0,-0.03,-0.02,0.04,0.04,0.023,0.528,0.815,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.1329122629831545,0.0,0.09,0.0,-0.09,-0.02,0.04,1.548,0.724,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.19945875700796023,0.0,0.2,0.01,0.2,0.04,0.046,1.875,0.636,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.26574164698831737,0.0,0.2,0.04,0.2,0.1,0.042,1.79,0.236,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.3320755800232291,0.0,0.24,-0.01,0.24,0.1,0.044,1.905,-0.067,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.3983906679786742,0.0,0.2,0.02,0.2,0.08,0.051,2.165,-0.26,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.46473258099285886,0.0,0.22,0.01,0.22,0.08,0.049,2.085,-0.198,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.531064910988789,0.0,0.24,0.0,0.24,0.04,0.05,2.136,-0.222,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.5974116430152208,0.0,0.2,0.02,0.2,0.02,0.06,2.525,-0.579,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.6637655000085942,92.0,0.18,-0.03,0.18,0.02,0.065,2.756,-0.496,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.7301061400212348,190.0,0.16,0.01,0.16,0.04,0.06,2.579,-0.099,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.7964857390034012,225.0,0.16,0.01,0.16,0.06,0.043,1.857,-0.042,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.8628035860019736,225.0,0.13,0.01,0.13,0.02,0.028,1.169,-0.209,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.9290553639875725,225.0,0.12,0.01,-0.12,-0.02,0.025,1.032,-0.27,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,0.9953562740120105,225.0,0.11,0.01,0.11,0.02,0.024,0.957,-0.348,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.0617439729976468,225.0,0.11,0.0,0.11,0.06,0.023,0.89,-0.429,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.12797979201423,225.0,0.11,0.0,0.11,0.06,0.023,0.866,-0.474,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.1943550779833458,225.0,0.09,0.0,0.09,0.06,0.023,0.879,-0.477,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.2607200570055284,225.0,0.12,0.01,0.12,0.04,0.024,0.906,-0.496,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.3269153300207108,0.0,0.27,0.0,0.27,0.08,0.044,1.858,-0.345,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.3931868270155974,0.0,0.27,0.0,0.27,0.08,0.046,1.96,-0.364,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.4596754880039953,49.0,0.25,-0.05,0.26,0.04,0.049,2.083,-0.313,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.5259651549858972,49.0,0.22,0.03,0.22,0.02,0.059,2.451,-0.686,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.5921833169995807,46.0,0.16,-0.01,0.16,0.06,0.071,2.955,-0.801,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.6585413700086065,162.0,0.15,0.05,0.16,0.08,0.074,3.119,-0.539,0
left_kp0.014_ki0.005_kd0_+300_r1,left,0.014,0.005,0.0,300.0,run,1.7248567899805494,235.0,0.13,0.01,0.13,0.26,0.063,2.665,-0.437,0
