case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.0003488969523459673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.06747710099443793,0.0,-0.09,-0.01,0.09,0.06,0.074,1.803,0.203,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.26590477395802736,398.0,0.15,0.01,0.15,0.08,-0.101,-2.457,-0.257,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.5659181629889645,-1159.0,-0.51,0.03,0.51,1.98,0.29,7.014,0.908,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,1.7170095816254616e-06,1280.0,-0.45,0.0,0.45,1.72,-0.317,-7.639,-1.12,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.39239357702899724,-2253.0,-1.63,-0.26,1.65,1.8,0.345,8.399,-0.167,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,-300,run,0.00024088204372674227,0.0,-0.29,-0.03,0.3,0.04,0.061,1.452,0.292,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,-300,run,0.32094358204631135,-1797.0,0.13,-0.02,0.13,1.96,0.485,11.803,0.675,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,1.8199789337813854e-06,1269.0,2.14,0.76,2.27,1.46,-0.231,-5.579,0.745,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.512395378027577,-2105.0,-0.07,-0.36,0.37,0.08,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.7724096410092898,-2105.0,-0.05,-0.34,0.35,0.08,0.0,0.0,0.0,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,300,run,0.00023446499835699797,0.0,-0.05,-0.34,0.34,0.08,0.053,0.174,1.275,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,300,run,0.2798548269784078,0.0,0.15,0.01,0.15,0.1,0.101,2.394,0.609,0
