case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.00012482202146202326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.0664541160222143,0.0,0.02,-0.01,0.02,0.04,-0.013,-0.107,0.542,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.13283057301305234,0.0,0.02,0.01,0.02,0.04,0.022,0.67,0.668,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.19962004700209945,0.0,0.12,0.01,0.12,0.04,0.038,1.532,0.547,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.26587601203937083,0.0,0.18,0.02,0.18,0.34,0.042,1.752,0.496,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.3323058260139078,0.0,0.2,0.01,0.2,0.04,0.043,1.779,0.472,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.3987020730273798,0.0,0.21,0.02,0.21,0.08,0.042,1.704,0.55,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.46504312299657613,0.0,0.22,-0.01,0.22,0.04,0.043,1.752,0.603,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.5313072850112803,0.0,0.23,-0.04,0.23,0.04,0.044,1.798,0.619,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.5975448139943182,0.0,0.34,0.06,0.35,0.2,0.044,1.811,0.52,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.6643831430119462,0.0,0.3,0.0,0.3,0.06,0.044,1.878,-0.096,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.7307264900300652,0.0,0.29,-0.01,0.29,0.06,0.049,2.085,-0.212,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.7971777730272152,0.0,0.3,-0.05,0.31,0.08,0.064,2.715,-0.281,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.8635370830306783,0.0,0.3,0.07,0.31,0.16,0.083,3.518,-0.55,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.9297723509953357,409.0,0.17,-0.01,0.17,0.08,0.081,3.311,-1.046,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,0.99605891603278,432.0,0.15,0.03,0.15,0.02,0.077,3.212,-0.711,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.062519308004994,361.0,0.22,0.01,0.22,0.08,0.071,2.962,-0.625,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.1287866930360906,337.0,0.19,-0.02,0.19,0.06,0.068,2.903,-0.399,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.1950846770196222,310.0,0.22,0.05,0.22,0.04,0.067,2.834,-0.59,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.2614467670209706,280.0,0.21,-0.03,0.21,0.08,0.07,2.962,-0.515,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.327791078016162,284.0,0.19,0.04,0.2,0.04,0.068,2.914,-0.362,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.3942171939997934,289.0,0.17,0.02,0.17,0.32,0.069,2.898,-0.512,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.4605419780127704,280.0,0.16,-0.05,0.17,0.1,0.073,3.083,-0.622,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.5267714689834975,293.0,0.23,-0.04,0.23,0.06,0.069,2.925,-0.348,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.5930734369903803,303.0,0.16,0.01,0.16,0.04,0.07,2.952,-0.488,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.6595162370358594,292.0,0.17,-0.05,0.18,0.38,0.073,3.078,-0.676,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.7258333869976923,300.0,0.25,-0.04,0.25,0.1,0.068,2.906,-0.308,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.7921456940239295,301.0,0.2,0.03,0.2,0.08,0.069,2.904,-0.453,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.8584918029955588,285.0,0.14,0.02,0.14,0.1,0.072,3.001,-0.699,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.924795473983977,295.0,0.18,-0.06,0.19,0.1,0.07,2.968,-0.313,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,1.991128570982255,294.0,0.21,-0.02,0.21,0.08,0.067,2.837,-0.434,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,2.057468249986414,278.0,0.24,0.04,0.24,0.06,0.07,2.952,-0.576,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,2.123791899997741,289.0,0.24,0.03,0.24,0.38,0.068,2.891,-0.321,0
left_kp0.0095_ki0.018_kd0_+300_r1,left,0.0095,0.018,0.0,300.0,run,2.190017078013625,290.0,0.21,0.05,0.21,0.08,0.067,2.845,-0.517,0
