abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.0095_ki0.018_kd0_+300_r1,0,0,4464,0.0,0.018,0.0095,0.15,0.0,left,44.0,0.35,0.083,432.0,0.34,61,0,1,0.9297723509953357,0,270.8,-9.73333333333333,7.520638270785266,0.0,300.0
,left_kp0.0095_ki0.018_kd0_-300_r1,0,0,4464,0.0,0.018,0.0095,0.15,-0.0,left,3.6666666666666665,0.33,0.073,311.0,0.33,61,0,1,0.8627915490069427,0,292.2,-2.6000000000000036,2.7856776554368237,0.0,-300.0
,left_kp0.0095_ki0.018_kd0_+300_r2,0,0,4464,0.0,0.018,0.0095,0.18,0.0,left,2.666666666666667,0.27,0.073,308.0,0.27,61,0,2,0.7956075019901618,0,281.2,-6.26666666666667,6.305553108173778,0.0,300.0
,left_kp0.0095_ki0.018_kd0_-300_r2,0,0,4464,0.0,0.018,0.0095,0.18,-0.0,left,40.666666666666664,0.4,0.084,422.0,0.38,62,0,2,0.9951828649500385,0,290.6,-3.1333333333333253,7.002856560004639,522.0,-300.0
,left_kp0.0095_ki0.02_kd0_+300_r1,0,0,4464,0.0,0.02,0.0095,0.21,0.0,left,42.66666666666667,0.31,0.084,428.0,0.31,63,0,1,0.8633123809704557,0,281.2,-6.26666666666667,7.467261881037787,0.0,300.0
,left_kp0.0095_ki0.02_kd0_-300_r1,0,0,4464,0.0,0.02,0.0095,0.14,-0.0,left,9.0,0.33,0.074,327.0,0.33,63,0,1,0.7958857020130381,0,295.6,-1.466666666666659,4.923413450036469,0.0,-300.0
,left_kp0.0095_ki0.02_kd0_+300_r2,0,0,4464,0.0,0.02,0.0095,0.22,0.0,left,37.666666666666664,0.41,0.084,413.0,0.37,64,0,2,0.9294485840364359,0,287.0,-4.333333333333334,8.12403840463596,0.0,300.0
,left_kp0.0095_ki0.02_kd0_-300_r2,0,0,4464,0.0,0.02,0.0095,0.13,-0.0,left,3.3333333333333335,0.28,0.073,310.0,0.28,64,0,2,0.7302385020302609,0,293.4,-2.2000000000000073,6.887670143089026,0.0,-300.0
,left_kp0.0095_ki0.022_kd0_+300_r1,0,0,4464,0.0,0.022,0.0095,0.18,0.0,left,39.0,0.33,0.088,417.0,0.33,64,0,1,0.7958314780262299,0,286.0,-4.666666666666667,3.1622776601683795,0.0,300.0
,left_kp0.0095_ki0.022_kd0_-300_r1,0,0,4464,0.0,0.022,0.0095,0.16,-0.0,left,19.0,0.27,0.078,357.0,0.25,64,0,1,0.729741140967235,0,293.8,-2.066666666666663,2.1354156504062622,0.0,-300.0
,left_kp0.0095_ki0.022_kd0_+300_r2,0,0,4464,0.0,0.022,0.0095,0.14,0.0,left,27.0,0.29,0.081,381.0,0.29,64,0,2,0.7960529410047457,0,285.4,-4.866666666666674,5.535341001239219,0.0,300.0
,left_kp0.0095_ki0.022_kd0_-300_r2,0,0,4464,0.0,0.022,0.0095,0.16,-0.0,left,5.333333333333334,0.28,0.072,316.0,0.27,64,0,2,0.7294847560115159,0,293.8,-2.066666666666663,6.241794613730894,0.0,-300.0
,right_kp0.0095_ki0.018_kd0_+300_r1,0,0,4464,0.0,0.018,0.0095,0.15,0.0,right,46.0,0.39,0.087,438.0,0.35,47,0,1,1.1281007539946586,0,261.8,-12.73333333333333,4.1182520563948,0.0,300.0
,right_kp0.0095_ki0.018_kd0_-300_r1,0,0,4464,0.0,0.018,0.0095,0.15000000000000002,-0.0,right,24.666666666666668,0.34,0.078,374.0,0.33,47,0,1,1.128113611950539,0,306.2,2.066666666666663,8.97552226892675,0.0,-300.0
