abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,right_kp0.0095_ki0.018_kd0_+300_r2,0,0,4464,0.0,0.018,0.0095,0.16,0.0,right,37.0,0.33,0.082,411.0,0.33,49,0,2,0.9955270949867554,0,273.2,-8.933333333333337,7.110555533852471,0.0,300.0
,right_kp0.0095_ki0.018_kd0_-300_r2,0,0,4464,0.0,0.018,0.0095,0.14,-0.0,right,53.666666666666664,0.4,0.089,461.0,0.4,50,0,2,1.2604483089526184,0,308.0,2.666666666666667,9.549869109050658,0.0,-300.0
,right_kp0.0095_ki0.02_kd0_+300_r1,0,0,4464,0.0,0.02,0.0095,0.18,0.0,right,6.0,0.3,0.075,318.0,0.3,50,0,1,0.797418070025742,0,274.4,-8.533333333333342,5.885575587824865,0.0,300.0
,right_kp0.0095_ki0.02_kd0_-300_r1,0,0,4464,0.0,0.02,0.0095,0.15,-0.0,right,16.666666666666664,0.35,0.081,350.0,0.35,50,0,1,0.9283355040242895,0,298.4,-0.533333333333341,8.5463442476886,0.0,-300.0
,right_kp0.0095_ki0.02_kd0_+300_r2,0,0,4464,0.0,0.02,0.0095,0.18,0.0,right,0.0,0.27,0.071,298.0,0.27,50,0,2,1.3935714920517057,0,276.6,-7.799999999999993,7.1442284397967,0.0,300.0
,right_kp0.0095_ki0.02_kd0_-300_r2,0,0,4464,0.0,0.02,0.0095,0.14,-0.0,right,10.666666666666668,0.31,0.074,332.0,0.3,50,0,2,0.928001319989562,0,295.0,-1.6666666666666667,7.771743691090179,0.0,-300.0
,right_kp0.0095_ki0.022_kd0_+300_r1,0,0,4464,0.0,0.022,0.0095,0.16,0.0,right,41.0,0.31,0.082,423.0,0.31,50,0,1,0.8623721349867992,0,282.0,-6.0,8.717797887081348,0.0,300.0
,right_kp0.0095_ki0.022_kd0_-300_r1,0,0,4464,0.0,0.022,0.0095,0.15,-0.0,right,53.0,0.43,0.088,459.0,0.43,51,0,1,1.0609011380001903,0,284.0,-5.333333333333334,8.921883209278185,0.0,-300.0
,right_kp0.0095_ki0.022_kd0_+300_r2,0,0,4464,0.0,0.022,0.0095,0.16,0.0,right,45.666666666666664,0.39,0.085,437.0,0.38,52,0,2,0.8626975439838134,0,288.4,-3.8666666666666747,6.053098380168622,0.0,300.0
,right_kp0.0095_ki0.022_kd0_-300_r2,0,0,4464,0.0,0.022,0.0095,0.17999999999999997,-0.0,right,20.0,0.35,0.077,360.0,0.35,52,0,2,0.86252595303813,0,285.2,-4.933333333333337,7.730459236035075,0.0,-300.0
