phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target
run,0.006962481998925796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
run,4.595440491997579,3018.0,0.28,0.02,0.28,0.22,0.352,-0.161,8.612,42.9,0,0,0
run,4.848905738999747,2539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
stop,0.06588505099716713,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,42.9,0,0,0
stop,0.31851208599982783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
stop,0.571720441999787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
