motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
left,0.0,0.053157937014475465,0.0,0.0,0.32,0.1,-0.32,-0.03,42.8,0,0,0,0
left,0.0,0.15550452301977202,0.0,0.0,0.31,0.1,-0.31,-0.03,42.8,0,0,0,0
left,0.05,0.06237453903304413,0.05,0.0,0.31,0.1,-0.31,-0.03,42.8,0,0,0,0
left,0.05,0.17476999899372458,0.05,0.0,0.1,0.1,0.07,-0.07,42.8,0,0,0,0
left,0.1,0.062077931012026966,0.1,0.0,0.12,0.12,0.09,-0.07,42.8,0,0,0,0
left,0.1,0.17479245801223442,0.096,0.0,1.57,0.34,1.52,0.4,42.8,0,0,0,0
