phase,t,erpm,iq,id,imotor,ibat,duty,vd,vq,vin,fault,position,position_target
run,0.005673200001183432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
run,0.8975440710019029,0.0,0.15,0.0,0.15,0.1,0.073,1.784,0.139,42.9,0,0,0
run,3.1743405340021127,1684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
run,3.4274307430023327,1684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
run,4.370451550003054,1553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
run,4.623773163002625,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
run,4.876782321000064,833.0,0.37,-0.03,0.37,0.04,-0.055,0.877,-1.021,42.9,0,0,0
stop,0.5963367949989333,1523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0
