case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.0001574010238982737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.06645376601954922,0.0,0.01,0.0,0.01,0.02,0.009,0.37,0.155,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.1327117090113461,0.0,0.02,0.01,0.03,0.02,0.025,1.049,0.101,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.19898377498611808,0.0,0.13,0.0,0.13,0.04,0.037,1.594,0.013,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.26548592699691653,0.0,0.18,0.0,0.18,0.02,0.04,1.709,0.016,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.3317938019754365,0.0,0.2,-0.01,0.2,0.02,0.041,1.741,0.077,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.3981467030243948,0.0,0.24,0.0,0.24,0.06,0.042,1.798,0.107,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.4644833679776639,0.0,0.24,-0.01,0.24,0.06,0.044,1.867,0.155,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.5307665470172651,0.0,0.27,0.0,0.27,0.02,0.046,1.948,0.174,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.5968315590289421,0.0,0.28,-0.06,0.29,0.06,0.051,2.177,0.115,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.663125952007249,0.0,0.28,0.06,0.29,0.06,0.063,2.681,0.104,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.7293830609996803,0.0,0.22,0.03,0.22,0.1,0.084,3.564,-0.466,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.7956833650241606,411.0,0.21,0.01,0.21,0.06,0.08,3.304,-0.973,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.8618635300081223,430.0,0.12,-0.09,0.15,0.04,0.075,3.167,-0.549,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.9281595019856468,374.0,0.18,0.01,0.18,0.06,0.07,2.968,-0.421,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,0.9944943470181897,324.0,0.17,-0.03,0.17,0.04,0.066,2.794,-0.38,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,1.060858282027766,272.0,0.23,-0.01,0.23,0.04,0.064,2.732,-0.388,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,1.127194689004682,252.0,0.22,0.05,0.22,0.06,0.067,2.837,-0.418,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,1.1935620970325544,253.0,0.21,0.0,0.21,0.04,0.067,2.842,-0.402,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,300.0,run,1.2598726690048352,267.0,0.22,0.0,0.22,0.06,0.068,2.883,-0.356,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,1.5730038285255432e-06,272.0,0.19,0.0,0.19,0.0,0.07,2.984,-0.351,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.07641596801113337,284.0,0.19,-0.02,0.19,0.06,0.064,2.73,-0.431,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.14279931201599538,263.0,0.09,0.04,0.1,0.04,0.054,2.303,-0.383,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.20914387702941895,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.27543595200404525,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.34169985103653744,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.4081560240010731,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.47447653900599107,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.5408065000083297,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.607179195038043,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_+300,left,0.009,0.021,0.0,0,stop,0.6735070320428349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_-300,left,0.009,0.021,0.0,-300.0,run,9.173800935968757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.009_ki0.021_kd0_-300,left,0.009,0.021,0.0,-300.0,run,0.06613888399442658,0.0,0.0,0.01,0.01,0.0,-0.004,-0.171,-0.069,0
