case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.00030963204335421324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.07396037003491074,0.0,0.0,0.0,0.01,0.08,-0.008,-0.144,0.319,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.14761298504890874,0.0,0.02,0.01,0.02,0.02,-0.008,-0.069,0.345,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.220870110031683,0.0,0.01,-0.02,0.02,0.16,-0.01,-0.04,0.418,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.2944049530196935,0.0,0.05,0.0,0.05,0.06,-0.008,-0.029,0.345,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.36809717200230807,0.0,0.03,0.01,0.03,0.02,0.008,0.005,0.327,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.4417823660187423,0.0,0.03,0.01,0.03,0.04,-0.008,-0.002,0.359,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.5153126280056313,0.0,0.02,0.01,0.02,0.06,0.008,0.008,0.332,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.5890776180312969,0.0,0.04,0.0,0.04,0.04,0.007,0.0,0.305,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.6625150460167788,0.0,0.02,-0.03,-0.04,-0.02,0.008,0.01,0.337,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.7361676139989868,0.0,0.06,0.0,0.06,0.02,0.007,0.018,0.316,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.8096645150217228,0.0,0.03,0.0,0.03,0.02,0.008,0.026,0.337,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.8832217980525456,0.0,0.03,0.0,0.03,0.02,0.007,0.056,0.297,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.9565360510023311,0.0,0.03,0.0,0.03,0.02,0.007,0.072,0.284,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,1.0969815775752068e-06,0.0,0.03,0.0,0.03,0.06,0.008,0.05,0.343,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.0836672669975087,0.0,0.02,0.0,0.02,0.08,0.008,0.233,0.23,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.1575949380057864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.2311970840091817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.30454751302022487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.37794216501060873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.45177999703446403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.5251816789968871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.5986668029800057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.6722103499923833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.00014241097960621119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.07341182499658316,0.0,0.01,0.0,-0.01,-0.02,-0.01,-0.262,0.316,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.14669665897963569,0.0,0.0,-0.02,0.02,0.02,-0.022,-0.699,0.659,0
