case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,9.358400711789727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.06628065498080105,0.0,0.02,-0.01,0.02,0.04,-0.004,-0.126,0.115,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.13254461099859327,0.0,0.06,-0.01,0.06,0.04,0.009,0.305,0.225,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.19909023202490062,0.0,0.09,0.0,0.09,0.04,0.029,1.221,0.209,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.2656102270120755,0.0,0.17,0.03,0.17,0.26,0.041,1.736,-0.104,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.3318330330075696,0.0,0.22,0.0,0.22,0.04,0.043,1.822,-0.201,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.39809554599924013,0.0,0.2,0.01,0.2,0.26,0.049,2.093,-0.257,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.4643954350030981,0.0,0.23,0.0,0.23,0.08,0.053,2.248,-0.174,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.5307255539810285,0.0,0.23,0.0,0.23,0.04,0.06,2.587,-0.182,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.5971191140124574,0.0,0.36,0.03,0.36,0.0,0.072,3.054,-0.418,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.6635612170211971,272.0,0.15,0.02,0.15,0.06,0.076,3.188,-0.67,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.7298152269795537,343.0,0.14,0.01,0.14,0.02,0.07,2.944,-0.501,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.7960305360029452,318.0,0.16,-0.05,0.17,0.04,0.069,2.885,-0.646,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.8623012760072015,278.0,0.18,0.03,0.18,0.28,0.065,2.756,-0.292,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.9286564500071108,269.0,0.18,0.01,0.18,0.08,0.062,2.63,-0.265,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,0.9949102670070715,234.0,0.15,0.01,0.15,0.04,0.063,2.662,-0.552,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.0611469299765304,228.0,0.2,-0.01,0.2,0.02,0.067,2.823,-0.437,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.1274985310155898,234.0,0.21,-0.05,0.22,0.08,0.069,2.938,-0.244,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.1938291750266217,265.0,0.23,0.01,0.23,0.04,0.068,2.914,-0.381,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.2601162880309857,282.0,0.16,0.06,0.18,0.06,0.071,2.939,-0.737,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.3263911479734816,293.0,0.16,0.02,0.16,0.08,0.071,2.992,-0.531,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.3927037420216948,304.0,0.21,-0.01,0.21,0.06,0.069,2.917,-0.391,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.4590165140107274,295.0,0.19,0.06,0.2,0.04,0.069,2.883,-0.702,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.5258132939925417,290.0,0.19,0.03,0.19,0.06,0.069,2.942,-0.45,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.5920752829988487,296.0,0.17,-0.04,0.18,0.02,0.069,2.912,-0.418,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.6584396280231886,286.0,0.23,0.02,0.23,0.0,0.069,2.904,-0.59,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.724811788997613,287.0,0.22,-0.03,0.22,0.1,0.07,2.963,-0.394,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.7911144139943644,291.0,0.2,0.03,0.2,0.04,0.068,2.896,-0.426,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.8575573610141873,289.0,0.19,0.02,-0.19,-0.12,0.071,2.984,-0.563,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.9238699519773945,290.0,0.2,-0.03,0.2,0.44,0.071,3.027,-0.439,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,1.990191994002089,298.0,0.17,0.0,0.17,0.06,0.069,2.947,-0.354,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.0565481850062497,290.0,0.18,0.0,0.18,0.04,0.07,2.966,-0.541,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.122952265024651,285.0,0.15,-0.1,0.18,0.04,0.07,2.987,-0.474,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.189299713005312,291.0,0.24,0.02,0.24,0.06,0.067,2.853,-0.351,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.255641873984132,286.0,0.17,-0.05,0.18,0.04,0.07,2.974,-0.552,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.322058253979776,279.0,0.2,0.06,0.21,0.04,0.069,2.866,-0.657,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.3883480399963446,291.0,0.23,-0.03,0.23,0.06,0.07,2.987,-0.37,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.4548375660087913,294.0,0.17,0.05,0.18,0.04,0.07,2.942,-0.632,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.5211324369884096,287.0,0.25,0.0,0.25,0.04,0.069,2.877,-0.619,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.5875248779775575,299.0,0.18,-0.01,0.18,0.06,0.071,3.022,-0.439,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.6538352540228516,292.0,0.24,0.03,0.24,0.32,0.068,2.877,-0.547,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.7201143560232595,289.0,0.23,0.0,0.23,0.02,0.07,2.931,-0.624,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.7863604520098306,304.0,0.22,0.0,0.22,0.06,0.07,2.984,-0.439,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.8528171610087156,297.0,0.22,0.01,0.22,0.08,0.069,2.936,-0.45,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.9190763509832323,294.0,0.24,-0.01,0.24,0.02,0.07,2.955,-0.622,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,300.0,run,2.9856882540043443,294.0,0.17,0.02,0.17,0.06,0.071,3.027,-0.453,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,2.0199804566800594e-06,299.0,0.21,0.02,0.21,0.06,0.07,2.966,-0.496,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.07649303402286023,289.0,0.21,0.01,0.21,0.08,0.065,2.7,-0.654,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.14278186997398734,275.0,0.12,-0.01,0.12,0.26,0.057,2.419,-0.335,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.20911385701037943,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.27544168900931254,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.3417997669894248,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.40817498497199267,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.47459117497783154,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.540920059022028,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.60728786297841,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.6735708650085144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_+300_r1,left,0.0095,0.022,0.0,0,stop,0.7398739769705571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.00014169403584674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.06648452900117263,0.0,0.0,0.02,0.02,0.0,-0.006,-0.217,-0.126,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.1327214820194058,0.0,-0.04,-0.01,0.04,0.06,-0.028,-1.201,-0.158,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.19893470802344382,0.0,-0.15,0.01,0.15,0.04,-0.041,-1.751,-0.024,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.26530814601574093,0.0,-0.21,0.0,0.21,0.42,-0.04,-1.713,0.018,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.3316064340178855,0.0,-0.2,-0.01,0.2,0.06,-0.041,-1.751,0.08,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.3979078860138543,0.0,-0.23,0.0,0.23,0.1,-0.043,-1.839,0.128,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.464310800016392,0.0,-0.25,0.0,0.25,0.08,-0.046,-1.981,0.174,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.5306904370081611,0.0,-0.27,0.0,0.27,0.12,-0.048,-2.062,0.19,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.5969859560136683,0.0,-0.3,0.02,0.3,0.02,-0.054,-2.314,0.053,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.6633262610412203,0.0,-0.23,0.1,0.25,0.04,-0.068,-2.909,-0.257,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.7295843070023693,-76.0,-0.26,-0.07,0.27,0.06,-0.087,-3.714,-0.461,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.796149708039593,-382.0,-0.13,-0.03,0.13,0.02,-0.082,-3.322,-1.155,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.8625039220205508,-413.0,-0.12,-0.04,0.13,0.06,-0.077,-3.255,-0.675,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.9287284320453182,-361.0,-0.13,0.04,0.13,0.02,-0.071,-2.925,-0.799,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,0.9950250680558383,-316.0,-0.14,-0.05,0.15,0.3,-0.069,-2.896,-0.552,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.06130668905098,-290.0,-0.15,-0.01,0.15,0.02,-0.069,-2.915,-0.474,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.1274665240198374,-274.0,-0.24,0.04,0.24,0.06,-0.068,-2.88,-0.493,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.1938795240130275,-270.0,-0.2,0.0,0.2,0.02,-0.066,-2.775,-0.536,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.2602168620214798,-269.0,-0.23,0.0,0.23,0.02,-0.069,-2.915,-0.407,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.3265011240146123,-279.0,-0.16,-0.03,0.16,0.02,-0.073,-3.068,-0.581,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.3929053410538472,-298.0,-0.17,-0.08,0.19,0.02,-0.069,-2.88,-0.694,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.459334124054294,-300.0,-0.22,-0.02,0.22,0.06,-0.071,-2.99,-0.463,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.5255695439991541,-300.0,-0.16,-0.03,0.16,0.02,-0.074,-3.086,-0.657,0
left_kp0.0095_ki0.022_kd0_-300_r1,left,0.0095,0.022,0.0,-300.0,run,1.591922941035591,-311.0,-0.19,-0.05,0.19,0.1,-0.069,-2.899,-0.657,0
