abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.002_ki0.002_kd0_+250,0,0,4165,0,0.002,0.002,0.04,0.0,left,0.0,0.06,0.01,0.0,0.06,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,left_kp0.002_ki0.002_kd0_-250,0,0,4165,0,0.002,0.002,0.05,-0.0,left,0.0,0.05,0.035,-0.0,0.05,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,left_kp0.004_ki0.004_kd0_+250,0,0,4248,0,0.004,0.004,0.07,0.0,left,0.0,0.08,0.032,0.0,0.08,0,0,,0,0.0,-100.0,0.0,78.0,250.0
,left_kp0.004_ki0.004_kd0_-250,0,0,4248,0,0.004,0.004,0.07,-0.0,left,0.0,0.1,0.032,-0.0,0.1,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,left_kp0.006_ki0.008_kd0_+250,0,0,4248,0,0.008,0.006,0.13,0.0,left,0.0,0.18,0.04,0.0,0.18,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,left_kp0.006_ki0.008_kd0_-250,0,0,4248,0,0.008,0.006,0.12,-0.0,left,0.0,0.17,0.037,-0.0,0.17,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,right_kp0.002_ki0.002_kd0_+250,0,0,4248,0,0.002,0.002,0.05,0.0,right,0.0,0.05,0.024,0.0,0.05,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,right_kp0.002_ki0.002_kd0_-250,0,0,4248,0,0.002,0.002,0.05,-0.0,right,0.0,0.06,0.032,-0.0,0.06,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,right_kp0.004_ki0.004_kd0_+250,0,0,4248,0,0.004,0.004,0.08,0.0,right,0.0,0.11,0.033,0.0,0.11,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,right_kp0.004_ki0.004_kd0_-250,0,0,4248,0,0.004,0.004,0.06,-0.0,right,0.0,0.11,0.037,-0.0,0.11,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,right_kp0.006_ki0.008_kd0_+250,0,0,4248,0,0.008,0.006,0.15,0.0,right,0.0,0.16,0.038,0.0,0.16,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,right_kp0.006_ki0.008_kd0_-250,0,0,4281,0,0.008,0.006,0.15,-0.0,right,0.0,0.17,0.046,-0.0,0.17,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
