abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.002_ki0.002_kd0_+250,0,0,4281,0,0.002,0.002,0.05,0.0,left,0.0,0.06,0.021,0.0,0.06,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,left_kp0.002_ki0.002_kd0_-250,0,0,4281,0,0.002,0.002,0.060000000000000005,-0.0,left,0.0,0.06,0.027,-0.0,0.06,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,left_kp0.004_ki0.004_kd0_+250,0,0,4281,0,0.004,0.004,0.08,0.0,left,0.0,0.13,0.034,0.0,0.13,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,left_kp0.004_ki0.004_kd0_-250,0,0,4281,0,0.004,0.004,0.08,-0.0,left,0.0,0.1,0.036,-0.0,0.1,0,0,,0,0.0,-100.0,0.0,46.0,-250.0
,left_kp0.006_ki0.008_kd0_+250,0,0,4281,0,0.008,0.006,0.14,0.0,left,0.0,0.15,0.042,0.0,0.15,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,left_kp0.006_ki0.008_kd0_-250,0,0,4281,0,0.008,0.006,0.15,-0.0,left,0.0,0.18,0.04,-0.0,0.18,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,left_kp0.008_ki0.015_kd0_+250,0,0,4320,0,0.015,0.008,0.16,0.0,left,0.0,0.23,0.073,208.0,0.23,0,0,,0,41.6,-83.36,83.2,0.0,250.0
,left_kp0.008_ki0.015_kd0_-250,0,0,4320,0,0.015,0.008,0.16,-0.0,left,0.0,0.27,0.072,228.0,0.27,0,0,1.0992239700281061,0,49.6,-80.16,89.53569120747323,0.0,-250.0
,left_kp0.01_ki0.025_kd0_+250,0,0,4320,0,0.025,0.01,0.12,0.0,left,47.199999999999996,0.26,0.084,368.0,0.25,1,0,0.8791398760513403,0,278.25,11.3,120.02994418060854,320.0,250.0
,left_kp0.01_ki0.025_kd0_-250,0,0,4320,0,0.025,0.01,0.16,-0.0,left,20.4,0.25,0.071,301.0,0.25,2,0,0.8066190670360811,0,265.25,6.1,33.78146681244022,0.0,-250.0
,right_kp0.002_ki0.002_kd0_+250,0,0,4320,0,0.002,0.002,0.04,0.0,right,0.0,0.06,0.022,0.0,0.06,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,right_kp0.002_ki0.002_kd0_-250,0,0,4320,0,0.002,0.002,0.04,-0.0,right,0.0,0.06,0.031,-0.0,0.06,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,right_kp0.004_ki0.004_kd0_+250,0,0,4320,0,0.004,0.004,0.07,0.0,right,0.0,0.09,0.018,0.0,0.09,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,right_kp0.004_ki0.004_kd0_-250,0,0,4320,0,0.004,0.004,0.09,-0.0,right,0.0,0.12,0.038,-0.0,0.12,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,right_kp0.006_ki0.008_kd0_+250,0,0,4320,0,0.008,0.006,0.15,0.0,right,0.0,0.17,0.039,0.0,0.17,0,0,,0,0.0,-100.0,0.0,0.0,250.0
,right_kp0.006_ki0.008_kd0_-250,0,0,4320,0,0.008,0.006,0.17,-0.0,right,0.0,0.19,0.043,-0.0,0.19,0,0,,0,0.0,-100.0,0.0,0.0,-250.0
,right_kp0.008_ki0.015_kd0_+250,0,0,4328,0,0.015,0.008,0.18,0.0,right,0.0,0.29,0.068,0.0,0.29,0,0,,0,0.0,-100.0,0.0,274.0,250.0
,right_kp0.008_ki0.015_kd0_-250,0,0,4338,0,0.015,0.008,0.17,-0.0,right,0.0,0.29,0.074,-0.0,0.28,1,0,,0,0.0,-100.0,0.0,323.0,-250.0
,right_kp0.01_ki0.025_kd0_+250,0,0,4338,0,0.025,0.01,0.26,-355.0,right,0.0,0.41,0.077,0.0,0.4,1,0,,0,-291.0,-216.4,50.785824793932406,228.0,250.0
,right_kp0.01_ki0.025_kd0_-250,0,0,4338,0,0.025,0.01,0.13,-305.0,right,0.0,0.26,0.069,-0.0,0.26,1,0,,0,-222.6,-189.04000000000002,46.59871242856395,227.0,-250.0
