case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.0005555780371651053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.07416690402897075,0.0,0.01,0.02,0.03,0.02,-0.006,-0.193,-0.198,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.14730408898321912,0.0,0.01,0.0,0.01,0.02,-0.007,-0.136,-0.281,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.2205911900382489,0.0,0.01,0.0,0.01,0.04,0.008,0.021,-0.345,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.2940163210150786,0.0,0.01,0.0,0.01,0.02,0.009,0.118,-0.37,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.3674556289915927,0.0,0.06,0.0,0.06,0.02,0.01,0.166,-0.413,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.44069652003236115,0.0,0.03,0.0,0.03,0.02,0.011,0.211,-0.413,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.5141523010097444,0.0,0.02,0.0,0.02,0.02,0.011,0.233,-0.426,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.5873927020002156,0.0,0.03,0.0,0.03,0.02,0.012,0.238,-0.463,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.6606714890222065,0.0,0.03,0.0,0.03,0.06,0.013,0.244,-0.482,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.7341072240378708,0.0,0.02,0.0,0.02,0.02,0.013,0.289,-0.49,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.8073572050197981,0.0,0.04,0.0,0.04,0.04,0.014,0.335,-0.512,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.8806754580000415,0.0,0.04,0.0,0.04,0.08,0.015,0.415,-0.517,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.9539912040345371,0.0,0.03,-0.01,0.03,0.02,0.016,0.434,-0.522,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,1.0273039169842377,0.0,0.05,0.0,0.05,0.02,0.016,0.482,-0.504,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,1.2129894457757473e-06,0.0,0.04,0.01,0.04,0.04,0.017,0.563,-0.496,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.08348766597919166,0.0,0.05,0.01,0.05,0.0,0.021,0.206,-0.885,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.15684463497018442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.23020766396075487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.3035813189926557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.37707263900665566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.4504364879685454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.5237648239708506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.5971056569833308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.6704517269972712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.0001599990064278245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.07331054302630946,0.0,0.0,0.0,0.0,0.06,-0.004,-0.067,-0.139,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.14656280702911317,0.0,-0.01,0.0,0.01,0.06,-0.007,-0.238,-0.19,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.22019478102447465,0.0,-0.01,0.0,0.01,0.04,-0.013,-0.501,-0.193,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.2934610189986415,0.0,-0.02,-0.02,0.03,0.06,-0.017,-0.699,-0.115,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.36673214903566986,0.0,0.01,0.0,0.01,0.04,-0.02,-0.844,-0.008,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.4400479220203124,0.0,-0.05,0.0,0.05,0.1,-0.021,-0.879,0.029,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.5133199550327845,0.0,-0.03,0.01,0.04,0.04,-0.023,-0.933,-0.254,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.5867790799820796,0.0,-0.05,0.01,0.05,0.0,-0.024,-0.903,-0.485,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.6601303690113127,0.0,-0.04,0.0,0.04,0.0,-0.026,-0.917,-0.63,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.7334079290158115,0.0,-0.03,0.0,0.03,0.0,-0.027,-0.927,-0.673,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.8066457230015658,0.0,-0.05,0.0,0.05,0.0,-0.027,-0.938,-0.667,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.8799206570256501,0.0,-0.05,0.0,0.05,0.14,-0.027,-0.96,-0.673,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,0.9532856959849596,0.0,-0.06,0.0,0.06,0.02,-0.027,-0.922,-0.673,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,1.026563169027213,0.0,-0.04,0.0,0.04,0.02,-0.027,-0.914,-0.675,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,-250.0,run,1.0998573320102878,0.0,-0.05,0.0,0.05,0.02,-0.027,-0.933,-0.675,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,1.3100216165184975e-06,0.0,-0.05,0.0,0.05,0.04,-0.027,-0.933,-0.67,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.08345905900932848,0.0,-0.04,0.0,0.04,0.16,-0.024,-0.775,-0.67,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.156875176995527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.23024845297913998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.30358523497125134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.3768902749870904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.45024552097311243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.5235685739899054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.5967949209734797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_-250,left,0.002,0.002,0,0,stop,0.6700037129921839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.00014282402116805315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.07342089404119179,0.0,0.0,0.0,0.0,0.02,-0.001,-0.002,0.021,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.14657633902970701,0.0,0.02,0.0,0.02,0.0,0.003,0.109,0.061,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.21978332503931597,0.0,0.02,0.01,0.03,0.04,0.012,0.493,-0.077,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.2931568860076368,0.0,0.03,-0.01,0.03,0.02,0.025,1.045,-0.174,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.36649006902007386,0.0,0.05,0.0,0.05,0.04,0.029,1.241,-0.099,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.4396952300448902,0.0,0.06,0.0,0.06,0.04,0.03,1.279,-0.085,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.5130104230483994,0.0,0.07,0.0,0.07,0.0,0.03,1.3,-0.08,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.5863141160225496,0.0,0.06,0.0,0.06,0.08,0.031,1.324,-0.083,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.6595323799992912,0.0,0.06,-0.01,0.06,0.08,0.031,1.346,-0.072,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.7328025540336967,0.0,0.08,0.0,0.08,0.04,0.032,1.362,-0.096,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.8060839039972052,0.0,0.07,0.0,0.07,0.02,0.033,1.402,-0.083,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.8792926050373353,0.0,0.07,-0.01,0.07,0.06,0.033,1.405,-0.037,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,0.9526968160062097,0.0,0.07,-0.01,0.07,0.02,0.033,1.429,-0.042,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,1.0260936810518615,0.0,0.11,0.0,0.11,0.02,0.033,1.402,-0.053,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,250.0,run,1.0995176150463521,0.0,0.08,0.0,0.08,0.02,0.034,1.453,-0.053,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,1.149950549006462e-06,0.0,0.13,0.0,0.13,0.0,0.034,1.466,-0.077,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.08338321797782555,0.0,0.08,0.0,0.08,0.32,0.033,1.381,-0.241,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.15676423197146505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.23051557398866862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.3040930499555543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.37732197996228933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.4508215739624575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.5243590059690177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.5977625869563781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_+250,left,0.004,0.004,0,0,stop,0.6710969159612432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.0001814799616113305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.07331991195678711,0.0,0.0,0.0,0.0,0.0,-0.004,-0.112,-0.144,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.1465957589680329,0.0,-0.03,-0.01,0.03,0.06,-0.009,-0.394,-0.093,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.2198734519770369,0.0,-0.03,-0.01,-0.03,-0.02,-0.02,-0.876,0.008,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.2931219189777039,0.0,-0.05,0.0,0.05,0.36,-0.028,-1.214,0.101,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.3663318899925798,0.0,-0.07,0.0,0.07,0.0,-0.031,-1.308,0.182,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.43975165497977287,0.0,-0.06,0.01,0.06,0.02,-0.032,-1.346,0.185,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.5130314839771017,0.0,-0.05,0.0,0.05,0.0,-0.032,-1.359,0.209,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.586410685966257,0.0,-0.07,0.0,0.07,0.0,-0.032,-1.345,0.206,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.659950444009155,0.0,-0.04,0.02,0.04,0.02,-0.033,-1.407,0.198,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.733355201955419,0.0,-0.08,0.0,0.08,0.02,-0.033,-1.399,0.211,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.806564080005046,0.0,-0.09,0.0,0.09,0.02,-0.034,-1.423,0.219,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.8798603529576212,0.0,-0.09,0.0,0.09,0.06,-0.033,-1.418,0.211,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,0.9531767820008099,0.0,-0.09,0.0,0.09,0.04,-0.035,-1.471,0.206,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,1.0264409589581192,0.0,-0.1,0.0,-0.1,-0.02,-0.035,-1.477,0.209,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,-250.0,run,1.0997911510057747,0.0,-0.07,0.0,0.07,0.0,-0.036,-1.511,0.209,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,1.093023456633091e-06,0.0,-0.1,0.01,0.1,0.02,-0.034,-1.444,-0.021,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.08464158698916435,0.0,-0.08,0.0,0.08,0.06,-0.033,-1.415,-0.085,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.15806825103936717,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.2313135180156678,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.30461432703305036,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.3778260549879633,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.4511308480286971,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.5243973740143701,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.5974583380157128,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.004_ki0.004_kd0_-250,left,0.004,0.004,0,0,stop,0.6706972940010019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.006_ki0.008_kd0_+250,left,0.006,0.008,0,250.0,run,0.0001580130192451179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.006_ki0.008_kd0_+250,left,0.006,0.008,0,250.0,run,0.07337446400197223,0.0,0.0,0.01,0.01,0.04,0.004,0.075,-0.168,0
left_kp0.006_ki0.008_kd0_+250,left,0.006,0.008,0,250.0,run,0.1465522390208207,0.0,-0.06,0.01,0.06,0.16,0.015,0.616,-0.168,0
left_kp0.006_ki0.008_kd0_+250,left,0.006,0.008,0,250.0,run,0.22003542102174833,0.0,0.05,-0.01,-0.05,-0.02,0.029,1.257,-0.112,0
