abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.0085_ki0.017_kd0_+300,0,0,4426,0.0,0.017,0.0085,0.09,0.0,left,13.666666666666666,0.26,0.079,341.0,0.26,3,0,0.8628329409984872,0,251.5,-16.166666666666664,12.278029157808675,0.0,300.0
,left_kp0.0085_ki0.017_kd0_-300,0,0,4426,0.0,0.017,0.0085,0.19000000000000003,-0.0,left,31.666666666666664,0.4,0.082,395.0,0.4,4,0,0.9944378969958052,0,322.5,7.5,16.25576820700886,0.0,-300.0
,left_kp0.009_ki0.018_kd0_+300,0,0,4426,0.0,0.018,0.009,0.15,0.0,left,14.666666666666666,0.29,0.076,344.0,0.29,5,0,0.7966736140078865,0,265.5,-11.5,21.418449990603897,0.0,300.0
,left_kp0.009_ki0.018_kd0_-300,0,0,4426,0.0,0.018,0.009,0.12,-0.0,left,0.0,0.25,0.07,276.0,0.25,5,0,1.4553612690069713,0,268.25,-10.583333333333334,5.11737237261468,0.0,-300.0
,left_kp0.009_ki0.02_kd0_+300,0,0,4426,0.0,0.02,0.009,0.17,0.0,left,0.0,0.28,0.072,300.0,0.28,5,0,1.2610358709935099,0,291.75,-2.75,7.1545440106270926,0.0,300.0
,left_kp0.009_ki0.02_kd0_-300,0,0,4426,0.0,0.02,0.009,0.14,-0.0,left,62.33333333333333,0.35,0.092,487.0,0.34,5,0,0.9964521949877962,0,346.5,15.5,2.29128784747792,0.0,-300.0
,left_kp0.0095_ki0.02_kd0_+300,0,0,4426,0.0,0.02,0.0095,0.1,0.0,left,10.333333333333334,0.25,0.075,331.0,0.25,5,0,0.7295496989972889,0,290.5,-3.166666666666667,5.678908345800274,0.0,300.0
,left_kp0.0095_ki0.02_kd0_-300,0,0,4426,0.0,0.02,0.0095,0.11000000000000001,-0.0,left,52.666666666666664,0.32,0.091,458.0,0.32,5,0,0.929446068010293,0,331.5,10.5,5.5,0.0,-300.0
,left_kp0.0095_ki0.022_kd0_+300,0,0,4426,0.0,0.022,0.0095,0.16,0.0,left,1.3333333333333335,0.26,0.072,304.0,0.25,5,0,0.6630494840210304,0,297.25,-0.9166666666666666,2.5860201081971503,0.0,300.0
,left_kp0.0095_ki0.022_kd0_-300,0,0,4426,0.0,0.022,0.0095,0.12,-0.0,left,5.333333333333334,0.27,0.073,316.0,0.26,5,0,0.7292796759866178,0,306.25,2.083333333333333,5.673402858955108,0.0,-300.0
,right_kp0.0085_ki0.017_kd0_+300,0,0,4426,0.0,0.017,0.0085,0.19999999999999998,0.0,right,38.0,0.37,0.081,414.0,0.35,1,0,1.062051132961642,0,334.75,11.583333333333332,16.97608612136496,261.0,300.0
,right_kp0.0085_ki0.017_kd0_-300,0,0,4426,0.0,0.017,0.0085,0.17,-0.0,right,48.333333333333336,0.34,0.084,445.0,0.33,2,0,1.1284547779941931,0,334.25,11.416666666666666,27.94078560098123,0.0,-300.0
,right_kp0.009_ki0.018_kd0_+300,0,0,4426,0.0,0.018,0.009,0.18,0.0,right,4.666666666666667,0.26,0.071,314.0,0.25,2,0,0.7959625180228613,0,253.75,-15.416666666666668,25.694114111990707,0.0,300.0
,right_kp0.009_ki0.018_kd0_-300,0,0,4426,0.0,0.018,0.009,0.14,-0.0,right,0.0,0.32,0.071,293.0,0.32,2,0,0.8622307110344991,0,249.5,-16.833333333333332,18.2414363469547,0.0,-300.0
,right_kp0.009_ki0.02_kd0_+300,0,0,4426,0.0,0.02,0.009,0.15,0.0,right,9.666666666666666,0.31,0.072,329.0,0.31,2,0,0.7966878729639575,0,273.25,-8.916666666666668,7.75806032459145,0.0,300.0
,right_kp0.009_ki0.02_kd0_-300,0,0,4426,0.0,0.02,0.009,0.15,-0.0,right,24.666666666666668,0.35,0.081,374.0,0.35,3,0,0.8625482839997858,0,285.5,-4.833333333333333,6.87386354243376,0.0,-300.0
,right_kp0.0095_ki0.02_kd0_+300,0,0,4426,0.0,0.02,0.0095,0.13000000000000003,0.0,right,3.6666666666666665,0.28,0.073,311.0,0.28,3,0,0.731379144010134,0,276.0,-8.0,8.774964387392123,0.0,300.0
,right_kp0.0095_ki0.02_kd0_-300,0,0,4426,0.0,0.02,0.0095,0.14,-0.0,right,17.0,0.31,0.076,351.0,0.31,4,0,0.7954340360010974,0,269.5,-10.166666666666666,8.874119674649425,397.0,-300.0
,right_kp0.0095_ki0.022_kd0_+300,0,0,4431,0.0,0.022,0.0095,0.13,0.0,right,34.333333333333336,0.32,0.081,403.0,0.32,6,0,0.8618977980222553,0,266.0,-11.333333333333332,12.509996003196804,0.0,300.0
,right_kp0.0095_ki0.022_kd0_-300,0,0,4431,0.0,0.022,0.0095,0.12000000000000002,-0.0,right,24.0,0.34,0.081,372.0,0.33,6,0,0.7959564430057071,0,277.25,-7.583333333333334,7.46240577829965,0.0,-300.0
