abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.0095_ki0.022_kd0_+300_r1,0,0,4464,0.0,0.022,0.0095,0.21,0.0,left,14.333333333333334,0.36,0.076,343.0,0.36,19,0,1,0.6635612170211971,0,295.6,-1.466666666666659,4.923413450036469,0.0,300.0
,left_kp0.0095_ki0.022_kd0_-300_r1,0,0,4464,0.0,0.022,0.0095,0.14,-0.0,left,37.666666666666664,0.3,0.087,413.0,0.3,20,0,1,0.796149708039593,0,293.0,-2.3333333333333335,3.286335345030997,0.0,-300.0
,left_kp0.0095_ki0.022_kd0_+300_r2,0,0,4464,0.0,0.022,0.0095,0.13,0.0,left,1.3333333333333335,0.28,0.072,304.0,0.28,20,0,2,1.261433470994234,0,294.8,-1.7333333333333294,6.241794613730894,0.0,300.0
,left_kp0.0095_ki0.022_kd0_-300_r2,0,0,4464,0.0,0.022,0.0095,0.13000000000000003,-0.0,left,38.666666666666664,0.31,0.087,416.0,0.3,21,0,2,0.7955861699883826,0,291.2,-2.933333333333337,4.48998886412873,0.0,-300.0
,left_kp0.009_ki0.02_kd0_+300_r1,0,0,4464,0.0,0.02,0.009,0.16,0.0,left,2.0,0.28,0.072,306.0,0.27,21,0,1,1.3266623739618808,0,294.2,-1.9333333333333373,6.241794613730894,0.0,300.0
,left_kp0.009_ki0.02_kd0_-300_r1,0,0,4464,0.0,0.02,0.009,0.13,-0.0,left,8.0,0.27,0.075,324.0,0.27,21,0,1,1.1939025120227598,0,291.2,-2.933333333333337,2.5612496949731396,0.0,-300.0
,left_kp0.009_ki0.02_kd0_+300_r2,0,0,4464,0.0,0.02,0.009,0.14,0.0,left,0.0,0.25,0.073,300.0,0.25,21,0,2,1.3267703959718347,0,292.4,-2.5333333333333408,6.770524351924303,0.0,300.0
,left_kp0.009_ki0.02_kd0_-300_r2,0,0,4464,0.0,0.02,0.009,0.16,-0.0,left,2.666666666666667,0.26,0.072,308.0,0.26,21,0,2,1.1936968159861863,0,290.2,-3.2666666666666706,5.74108003776293,0.0,-300.0
,right_kp0.0095_ki0.022_kd0_+300_r1,0,0,4464,0.0,0.022,0.0095,0.15,0.0,right,21.0,0.31,0.077,363.0,0.31,19,0,1,0.729539614985697,0,303.6,1.2000000000000077,6.468384651518492,0.0,300.0
,right_kp0.0095_ki0.022_kd0_-300_r1,0,0,4464,0.0,0.022,0.0095,0.12000000000000001,-0.0,right,42.333333333333336,0.38,0.085,427.0,0.37,21,0,1,0.9274920729803853,0,295.2,-1.6000000000000039,3.1240998703626617,0.0,-300.0
,right_kp0.0095_ki0.022_kd0_+300_r2,0,0,4464,0.0,0.022,0.0095,0.13,0.0,right,34.0,0.38,0.083,402.0,0.37,22,0,2,0.862706760992296,0,300.6,0.2000000000000076,3.2,0.0,300.0
,right_kp0.0095_ki0.022_kd0_-300_r2,0,0,4464,0.0,0.022,0.0095,0.22000000000000003,-0.0,right,30.333333333333336,0.4,0.081,391.0,0.4,22,0,2,0.8621889990172349,0,295.2,-1.6000000000000039,3.7629775444453557,0.0,-300.0
,right_kp0.009_ki0.02_kd0_+300_r1,0,0,4464,0.0,0.02,0.009,0.12,0.0,right,53.0,0.36,0.086,459.0,0.34,23,0,1,0.9944880719995126,0,300.4,0.13333333333332575,6.974238309665077,0.0,300.0
,right_kp0.009_ki0.02_kd0_-300_r1,0,0,4464,0.0,0.02,0.009,0.16999999999999998,-0.0,right,57.99999999999999,0.4,0.089,474.0,0.36,24,0,1,1.1281035490101203,0,296.8,-1.0666666666666629,7.025667228100119,0.0,-300.0
,right_kp0.009_ki0.02_kd0_+300_r2,0,0,4464,0.0,0.02,0.009,0.15,0.0,right,48.66666666666667,0.34,0.087,446.0,0.34,25,0,2,0.9953348159906454,0,300.6,0.2000000000000076,9.350935782048767,451.0,300.0
,right_kp0.009_ki0.02_kd0_-300_r2,0,0,4464,0.0,0.02,0.009,0.12,-0.0,right,41.333333333333336,0.32,0.083,424.0,0.31,26,0,2,0.9949024460511282,0,295.0,-1.6666666666666667,5.761944116355173,0.0,-300.0
